YEAR,CIRCUMFERENCIAL AND RADIAL ROAD,NAME,CAR,PUJ,UV,TAXI,PUB,TRUCK,TRAILER,MC,TRICYCLE,TOTAL
2023,C1,RECTO,"24,747","7,269",727,"1,678",593,666,115,"49,406","2,190","87,391"
2023,C2,MENDOZA,"57,755",11,81,"3,102",240,"6,706","1,218","74,200","1,922","145,235"
2023,C2,PRES. QUIRINO AVE.,"73,167",727,64,"3,837",364,"7,606","1,251","88,445","2,420","177,881"
2023,C3,ARANETA AVE.,"72,782",45,15,"2,418",248,"3,329",425,"51,266","1,694","132,222"
2023,C4,EDSA,"216,934","1,740","2,504","15,001","3,824","2,533",110,"164,673",23,"407,342"
2023,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"127,042",617,64,"2,674",426,"9,654",702,"89,534","7,982","238,695"
2023,R1,ROXAS BLVD.,"79,313","9,888","2,986","11,812","1,625","2,255","1,074","80,690",541,"190,184"
2023,R2,TAFT AVE.,"47,624","9,487","6,162","5,278","2,094","1,350",510,"55,395","6,421","134,321"
2023,R3,SSH,"87,963",224,84,"4,644",952,"7,480","2,644","72,806",107,"176,904"
2023,R4,SHAW BLVD.,"54,622","1,967","1,323","4,574",19,"1,314",62,"63,193",21,"127,095"
2023,R5,ORTIGAS AVE.,"63,651","1,598",181,"3,697",545,"1,289",248,"75,383",5,"146,597"
2023,R6,MAGSAYSAY BLVD.,"52,884","7,959",738,"3,608",723,"2,011",380,"67,689","1,924","137,916"
2023,R6,AURORA BLVD.,"45,357","5,677","1,526","3,601",629,"2,307",24,"62,531",276,"121,928"
2023,R7,QUEZON AVE.,"139,665","3,697","5,235","12,801","1,305","5,101",215,"144,297",170,"312,486"
2023,R7,COMMONWEALTH AVE.,"171,866","14,556","5,853","13,162","4,088","6,907",391,"189,594","1,571","407,988"
2023,R8,A. BONIFACIO,"44,888","3,638",95,"1,554","2,209","9,790","1,341","42,042",377,"105,934"
2023,R9,RIZAL AVE.,"31,643","8,454",39,"2,783",289,"2,468",7,"67,376","1,615","114,674"
2023,R10,DEL PAN,"32,034",459,25,"1,586",62,"5,515","9,212","52,253","3,469","104,615"
2023,,MARCOS HIGHWAY,"110,378","11,185",636,"4,749",440,"6,604",481,"108,876",287,"243,636"
2023,,MCARTHUR HIGHWAY,"32,007","6,461",7,"3,664",432,"2,884",355,"74,997",382,"121,189"
2022,C1,RECTO,"27,587","6,749",756,"3,554",90,651,169,"44,687","1,854","86,097"
2022,C2,MENDOZA,"83,148",523,243,"5,384",155,"3,786",12,"80,092","1,900","175,243"
2022,C2,PRES. QUIRINO AVE.,"68,697",6,81,"3,963",209,"3,198",53,"70,437",973,"147,617"
2022,C3,ARANETA AVE.,"59,994",14,16,"2,758",26,"2,639",507,"44,877","1,475","112,306"
2022,C4,EDSA,"202,764","1,803","2,475","18,186","5,588","2,295",119,"151,847",20,"385,097"
2022,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"93,513",405,"2,668","4,123",789,"8,993","1,151","100,133",44,"211,819"
2022,R1,ROXAS BLVD.,"90,400",68,"2,461","9,018",595,"1,077","2,050","80,120",290,"186,079"
2022,R2,TAFT AVE.,"73,942","14,622","7,648",923,"1,174","1,647",164,"83,705","6,639","190,464"
2022,R3,SSH,"146,455","4,413",246,"7,920","4,893","6,870","3,497","86,204",51,"260,549"
2022,R4,SHAW BLVD.,"47,568","2,545","1,412","5,385",48,"1,041",98,"52,739",21,"110,857"
2022,R5,ORTIGAS AVE.,"66,372","24,357","4,454","3,505",901,"3,988",549,"75,422",113,"179,661"
2022,R6,MAGSAYSAY BLVD.,"47,686","6,144",917,"5,434",152,"I,644",272,"64,643","1,612","126,860"
2022,R6,AURORA BLVD.,"43,305","7,954","2,121","5,600",522,"1,988",42,"57,926",167,"119,625"
2022,R7,QUEZON AVE.,"130,465","2,806","2,963","13,003",853,"4,088",314,"125,966",149,"280,607"
2022,R7,COMMONWEALTH AVE.,"153,029","5,520","4,223","16,026","4,614","7,336",439,"154,369",628,"346,184"
2022,R8,A. BONIFACIO,"38,715","3,202",72,"1,319","1,593","7,880","1,458","30,308",265,"84,812"
2022,R9,RIZAL AVE.,"29,917","7,154",28,"2,825",26,"2,531",15,"54,799","1,813","99,108"
2022,R10,DEL PAN,34.415,656,43,"1,950",163,"6,051","8,610","43,733","2,481","63,721"
2022,,MARCOS HIGHWAY,"100,373","7,861",805,6.473,542,"4,853",343,"106,963",257,"222,003"
2022,,MCARTHUR HIGHWAY,"24,724","4,074",8,"3,659",479,"2,386",169,"64,759",298,"100,556"
2021,C1,RECTO,"27,447","3,980",12,"4,844",431,924,80,"45,082","1,660","84,460"
2021,C2,MENDOZA,"37,472","3,384",9,"3,575",68,"8,186","1,897","54,136",662,"109,389"
2021,C2,PRES. QUIRINO AVE.,"30,942",94,10,"2,789",56,"3,397",754,"33,872",668,"72,582"
2021,C3,ARANETA AVE.,"58,726",0,9,"2,361",1,"2,200",447,"36,033",488,"100,265"
2021,C4,EDSA,"199,402","1,638","2,604","19,287","5,527","2,188",45,"141,564",16,"372,271"
2021,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"99,316",289,"2,121","4,685",340,"10,535","1,281","93,681",37,"212,285"
2021,R1,ROXAS BLVD.,"95,063","9,366","1,988","11,734","1,575","3,076","1,849","81,895","2,793","209,339"
2021,R2,TAFT AVE.,"43,676","8,552","4,400","5,970","1,865","1,022",7,"45,416","3,807","114,715"
2021,R3,SSH,"96,111",187,80,"5,740",367,"6,664","2,093","75,867",80,"187,189"
2021,R4,SHAW BLVD.,"48,612","1,127",757,"7,958",325,798,101,"45,517",10,"105,205"
2021,R5,ORTIGAS AVE.,"73,145","6,866","3,619","3,176","3,177","4,571",486,"90,210",449,"185,699"
2021,R6,MAGSAYSAY BLVD.,"57,031","5,043",43,"7,255",391,"2,138",380,"66,360","1,292","139,933"
2021,R6,AURORA BLVD.,"36,367","7,424","1,458","4,200","1,005","1,922",20,"48,318",98,"100,812"
2021,R7,QUEZON AVE.,"120,383","2,094","2,813","13,139","1,111","4,493",287,"117,718",90,"262,128"
2021,R7,COMMONWEALTH AVE.,"135,153","1,740","4,879","14,663","5,879","5,914",366,"133,591",131,"302,316"
2021,R8,A. BONIFACIO,"27,772","3,247",53,"1,101",550,"8,334","1,162","29,066","1,222","72,507"
2021,R9,RIZAL AVE.,"33,217","6,683",28,"3,494",543,"2,788",0,"59,406",747,"106,906"
2021,R10,DEL PAN,"39,187",630,38,"2,391",147,"6,043","6,506","44,121","3,753","102,816"
2021,,MARCOS HIGHWAY,"109,691","7,682",882,"7,659",480,"6,687",522,"99,611",252,"233,466"
2021,,MCARTHUR HIGHWAY,"30,529","3,740",2,"4,834",855,"2,858",194,"80,178",200,"123,390"
2020,C1,RECTO,"28,622","4,762",5,"5,395",814,655,0,"51,636","2,733","94,622"
2020,C2,MENDOZA,"36,698",544,44,"2,152",251,"3,115",885,"24,296","2,490","70,475"
2020,C2,PRES. QUIRINO AVE.,"30,541",176,150,"2,636",430,"1,839",769,"17,680","1,195","55,416"
2020,C3,ARANETA AVE.,"35,696",762,23,"3,867",21,"3,546",661,"38,154","2,237","84,967"
2020,C4,EDSA,"193,788",225,"1,423","19,316","3,645","2,136",68,"107,509",4,"328,114"
2020,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"100,846",316,436,"6,941",347,"10,996",725,"71,797",14,"192,418"
2020,R1,ROXAS BLVD.,"105,863",105,"1,053","8,769",851,"1,158","2,501","70,184",142,"190,626"
2020,R2,TAFT AVE.,"38,695","13,043","12,625","5,888","3,881",653,1,"34,297","1,833","110,916"
2020,R3,SSH,"69,900",0,45,"5,842",175,"9,653","2,878","54,174",88,"142,755"
2020,R4,SHAW BLVD.,"46,235",737,51,"6,217",732,"1,790",41,"47,331",475,"103,609"
2020,R5,ORTIGAS AVE.,"80,679","2,425","2,611","4,149","3,796","4,730",614,"73,070",416,"172,490"
2020,R6,MAGSAYSAY BLVD.,"48,380",10,11,"6,868",825,"2,755",349,"50,399","1,943","111,540"
2020,R6,AURORA BLVD.,"40,912","12,027","6,726","5,712",508,"2,001",14,"45,195",101,"113,196"
2020,R7,QUEZON AVE.,"126,286","6,676","12,049","14,828","1,428","4,311",203,"71,923",55,"237,759"
2020,R7,COMMONWEALTH AVE.,"148,343",168,295,"13,643","7,688","6,318",265,"105,325",92,"282,137"
2020,R8,A. BONIFACIO,"41,356","1,660",34,"1,839",175,"8,449","1,414","25,152",923,"81,002"
2020,R9,RIZAL AVE.,"30,080","9,986",101,"2,204",449,"2,938",109,"40,721",956,"87,544"
2020,R10,DEL PAN,"45,911",688,28,"2,304",254,"6,281","7,342","42,621","2,166","107,595"
2020,,MARCOS HIGHWAY,"102,714","12,666","3,313","7,762",454,"5,125",225,"90,421",453,"223,133"
2020,,MCARTHUR HIGHWAY,"33,129","8,300",41,"3,720","2,244","3,923",183,"59,340",190,"111,070"
2019,C1,RECTO,"21,909","10,115","2,109","2,324",719,762,28,"25,439","2,722","66,127"
2019,C2,MENDOZA,"50,045",59,295,"3,870",235,"5,592",877,"28,978","1,328","91,279"
2019,C2,PRES. QUIRINO AVE.,"63,263","1,329",391,"3,425",48,"7,591","1,442","38,103","1,175","116,767"
2019,C3,ARANETA AVE.,"42,708","2,172",2,"3,672",30,"3,718",697,"36,526","2,908","92,433"
2019,C4,EDSA,"255,732","2,166","6,285","18,913","11,313","1,297",0,"110,167",9,"405,882"
2019,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"124,426",967,"5,421","4,533",541,"10,175",960,"88,996",41,"236,060"
2019,R1,ROXAS BLVD.,"121,467",265,"6,885","13,511","1,530",975,"3,079","55,657",213,"203,582"
2019,R2,TAFT AVE.,"39,103","10,491","9,458","4,584","3,382",729,1,"30,948","1,369","100,065"
