Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2010,1,TRUE,50,4.255
2010,1,TRUE,70,5.4337
2010,1,TRUE,100,6.5957
2010,1,FALSE,200,8.2363
2010,1,FALSE,300,8.5293
2010,1,FALSE,400,8.8271
2010,1,FALSE,500,9.3739
2010,1,FALSE,600,9.3641
2010,1,FALSE,700,9.3643
2010,1,FALSE,800,9.3707
2010,1,FALSE,900,9.3756
2010,1,FALSE,1000,9.3796
2010,1,FALSE,1500,9.4248
2010,1,FALSE,3000,9.5451
2010,1,FALSE,5000,9.5932
2010,2,TRUE,50,4.5095
2010,2,TRUE,70,5.8459
2010,2,TRUE,100,7.1689
2010,2,FALSE,200,9.0331
2010,2,FALSE,300,9.3354
2010,2,FALSE,400,9.638
2010,2,FALSE,500,10.1875
2010,2,FALSE,600,10.1796
2010,2,FALSE,700,10.1811
2010,2,FALSE,800,10.1885
2010,2,FALSE,900,10.1943
2010,2,FALSE,1000,10.1989
2010,2,FALSE,1500,10.246
2010,2,FALSE,3000,10.3681
2010,2,FALSE,5000,10.4169
2010,3,TRUE,50,5.0431
2010,3,TRUE,70,6.5214
2010,3,TRUE,100,7.9862
2010,3,FALSE,200,10.0535
2010,3,FALSE,300,10.3559
2010,3,FALSE,400,10.6584
2010,3,FALSE,500,11.208
2010,3,FALSE,600,11.2001
2010,3,FALSE,700,11.2016
2010,3,FALSE,800,11.209
2010,3,FALSE,900,11.2147
2010,3,FALSE,1000,11.2193
2010,3,FALSE,1500,11.2664
2010,3,FALSE,3000,11.3886
2010,3,FALSE,5000,11.4374
2010,4,TRUE,50,6.0277
2010,4,TRUE,70,7.7441
2010,4,TRUE,100,9.4438
2010,4,FALSE,200,11.8268
2010,4,FALSE,300,12.2004
2010,4,FALSE,400,12.5743
2010,4,FALSE,500,13.2533
2010,4,FALSE,600,13.2435
2010,4,FALSE,700,13.2437
2010,4,FALSE,800,13.2501
2010,4,FALSE,900,13.2551
2010,4,FALSE,1000,13.259
2010,4,FALSE,1500,13.3043
2010,4,FALSE,3000,13.4246
2010,4,FALSE,5000,13.4727
2010,5,TRUE,50,5.2554
2010,5,TRUE,70,6.7307
2010,5,TRUE,100,8.1893
2010,5,FALSE,200,10.2599
2010,5,FALSE,300,10.6335
2010,5,FALSE,400,11.0074
2010,5,FALSE,500,11.6864
2010,5,FALSE,600,11.6766
2010,5,FALSE,700,11.6768
2010,5,FALSE,800,11.6832
2010,5,FALSE,900,11.6882
2010,5,FALSE,1000,11.6921
2010,5,FALSE,1500,11.7374
2010,5,FALSE,3000,11.8577
2010,5,FALSE,5000,11.9058
2010,6,TRUE,50,5.1793
2010,6,TRUE,70,6.6381
2010,6,TRUE,100,8.0801
2010,6,FALSE,200,10.1211
2010,6,FALSE,300,10.4946
2010,6,FALSE,400,10.8685
2010,6,FALSE,500,11.5475
2010,6,FALSE,600,11.5378
2010,6,FALSE,700,11.538
2010,6,FALSE,800,11.5444
2010,6,FALSE,900,11.5493
2010,6,FALSE,1000,11.5533
2010,6,FALSE,1500,11.5986
2010,6,FALSE,3000,11.7188
2010,6,FALSE,5000,11.7669
2010,7,TRUE,50,5.3353
2010,7,TRUE,70,6.8542
2010,7,TRUE,100,8.3563
2010,7,FALSE,200,10.4473
2010,7,FALSE,300,10.8208
2010,7,FALSE,400,11.1947
2010,7,FALSE,500,11.8737
2010,7,FALSE,600,11.864
2010,7,FALSE,700,11.8641
2010,7,FALSE,800,11.8705
2010,7,FALSE,900,11.8755
2010,7,FALSE,1000,11.8795
2010,7,FALSE,1500,11.9247
2010,7,FALSE,3000,12.045
2010,7,FALSE,5000,12.0931
2010,8,TRUE,50,5.621
2010,8,TRUE,70,7.2396
2010,8,TRUE,100,8.8414
2010,8,FALSE,200,11.0526
2010,8,FALSE,300,11.4261
2010,8,FALSE,400,11.8
2010,8,FALSE,500,12.479
2010,8,FALSE,600,12.4693
2010,8,FALSE,700,12.4695
2010,8,FALSE,800,12.4758
2010,8,FALSE,900,12.4808
2010,8,FALSE,1000,12.4848
2010,8,FALSE,1500,12.5301
2010,8,FALSE,3000,12.6503
2010,8,FALSE,5000,12.6984
2010,9,TRUE,50,5.1838
2010,9,TRUE,70,6.6615
2010,9,TRUE,100,8.1226
2010,9,FALSE,200,10.1755
2010,9,FALSE,300,10.549
2010,9,FALSE,400,10.9229
2010,9,FALSE,500,11.6019
2010,9,FALSE,600,11.5922
2010,9,FALSE,700,11.5924
2010,9,FALSE,800,11.5987
2010,9,FALSE,900,11.6037
2010,9,FALSE,1000,11.6077
2010,9,FALSE,1500,11.653
2010,9,FALSE,3000,11.7732
2010,9,FALSE,5000,11.8213
2010,10,TRUE,50,4.537
2010,10,TRUE,70,5.8142
2010,10,TRUE,100,7.0747
2010,10,FALSE,200,8.8685
2010,10,FALSE,300,9.242
2010,10,FALSE,400,9.6159
2010,10,FALSE,500,10.2949
2010,10,FALSE,600,10.2851
2010,10,FALSE,700,10.2853
2010,10,FALSE,800,10.2917
2010,10,FALSE,900,10.2967
2010,10,FALSE,1000,10.3007
