Year,StartDate,EndDate,Product,Overall Range Min,Overall Range Max,Common Price
2023,2023-04-09,2023-04-15,Gasoline (RON97/100),58.25,72.15,70.2
2023,2023-04-09,2023-04-15,Gasoline (RON95),58.25,72.15,76.8
2023,2023-04-09,2023-04-15,Gasoline (RON91),55.55,66.5,64.45
2023,2023-04-09,2023-04-15,Diesel,55.0,65.5,61.99
2023,2023-04-09,2023-04-15,Diesel Plus,50.7,57.5,56.58
2023,2023-04-09,2023-04-15,Kerosene,56.15,62.05,60.17
2023,2023-04-13,2023-04-19,Gasoline (RON97/100),60.85,74.25,69.42
2023,2023-04-13,2023-04-19,Gasoline (RON95),60.85,74.25,69.85
2023,2023-04-13,2023-04-19,Gasoline (RON91),57.6,69.1,67.06
2023,2023-04-13,2023-04-19,Diesel,56.8,68.1,65.24
2023,2023-04-13,2023-04-19,Diesel Plus,51.95,59.2,57.93
2023,2023-04-13,2023-04-19,Kerosene,56.25,63.75,61.87
2023,2023-04-20,2023-04-26,Gasoline (RON97/100),61.15,74.55,74.35
2023,2023-04-20,2023-04-26,Gasoline (RON95),61.15,74.55,74.35
2023,2023-04-20,2023-04-26,Gasoline (RON91),57.6,69.15,67.06
2023,2023-04-20,2023-04-26,Diesel,57.0,67.35,65.54
2023,2023-04-20,2023-04-26,Diesel Plus,52.29,58.4,57.11
2023,2023-04-20,2023-04-26,Kerosene,55.55,63.35,61.6
2023,2023-04-27,2023-05-03,Gasoline (RON97/100),59.2,73.15,69.26
2023,2023-04-27,2023-05-03,Gasoline (RON95),59.2,73.15,72.95
2023,2023-04-27,2023-05-03,Gasoline (RON91),56.0,67.75,67.75
2023,2023-04-27,2023-05-03,Diesel,55.0,65.95,63.85
2023,2023-04-27,2023-05-03,Diesel Plus,51.4,57.7,55.94
2023,2023-04-27,2023-05-03,Kerosene,54.85,62.65,60.9
2023,2023-08-11,2023-08-17,Gasoline (RON97/100),61.15,84.15,76.05
2023,2023-08-11,2023-08-17,Gasoline (RON95),57.55,78.05,64.0
2023,2023-08-11,2023-08-17,Gasoline (RON91),57.09,77.05,65.56
2023,2023-08-11,2023-08-17,Diesel,57.6,70.5,65.1
2023,2023-08-11,2023-08-17,Diesel Plus,62.15,80.6,63.54
2023,2023-08-11,2023-08-17,Kerosene,73.45,86.1,75.83
2023,2023-08-17,2023-08-23,Gasoline (RON97/100),63.05,86.05,77.95
2023,2023-08-17,2023-08-23,Gasoline (RON95),59.45,79.95,71.85
2023,2023-08-17,2023-08-23,Gasoline (RON91),59.0,78.95,68.7
2023,2023-08-17,2023-08-23,Diesel,58.95,72.0,66.25
2023,2023-08-17,2023-08-23,Diesel Plus,63.95,82.1,74.3
2023,2023-08-17,2023-08-23,Kerosene,75.56,89.29,78.33
2023,2023-08-24,2023-08-30,Gasoline (RON97/100),64.15,87.15,79.05
2023,2023-08-24,2023-08-30,Gasoline (RON95),60.0,81.05,67.0
2023,2023-08-24,2023-08-30,Gasoline (RON91),59.0,80.05,69.8
2023,2023-08-24,2023-08-30,Diesel,58.95,72.2,62.9
2023,2023-08-24,2023-08-30,Diesel Plus,64.45,82.3,74.5
2023,2023-08-24,2023-08-30,Kerosene,76.65,89.3,79.03
2023,2023-08-03,2023-08-09,Gasoline (RON97/100),61.25,83.65,70.65
2023,2023-08-03,2023-08-09,Gasoline (RON95),56.65,77.55,64.15
2023,2023-08-03,2023-08-09,Gasoline (RON91),56.19,76.55,62.65
2023,2023-08-03,2023-08-09,Diesel,53.2,66.5,60.95
2023,2023-08-03,2023-08-09,Diesel Plus,58.45,76.6,68.8
2023,2023-08-03,2023-08-09,Kerosene,70.7,83.35,73.08
2023,2023-08-31,2023-09-06,Gasoline (RON97/100),63.25,87.45,79.35
2023,2023-08-31,2023-09-06,Gasoline (RON95),60.8,81.35,67.3
2023,2023-08-31,2023-09-06,Gasoline (RON91),60.0,80.35,64.8
2023,2023-08-31,2023-09-06,Diesel,58.95,72.9,63.6
2023,2023-08-31,2023-09-06,Diesel Plus,65.15,83.0,68.45
2023,2023-08-31,2023-09-06,Kerosene,77.45,90.1,79.06
2023,2023-12-07,2023-12-13,Gasoline (RON97/100),56.3,77.7,71.25
2023,2023-12-07,2023-12-13,Gasoline (RON95),55.3,75.65,64.2
2023,2023-12-07,2023-12-13,Gasoline (RON91),54.8,74.65,62.7
2023,2023-12-07,2023-12-13,Diesel,52.7,66.05,61.65
2023,2023-12-07,2023-12-13,Diesel Plus,57.2,79.5,67.55
2023,2023-12-07,2023-12-13,Kerosene,71.4,84.4,74.36
2023,2023-12-14,2023-12-20,Gasoline (RON97/100),54.4,76.1,69.9
2023,2023-12-14,2023-12-20,Gasoline (RON95),53.4,74.65,66.45
2023,2023-12-14,2023-12-20,Gasoline (RON91),52.9,73.65,61.1
2023,2023-12-14,2023-12-20,Diesel,50.84,65.05,57.75
2023,2023-12-14,2023-12-20,Diesel Plus,55.55,77.65,65.7
2023,2023-12-14,2023-12-20,Kerosene,70.3,82.95,
2023,2023-12-22,2023-12-28,Gasoline (RON97/100),53.6,75.8,69.9
2023,2023-12-22,2023-12-28,Gasoline (RON95),52.6,74.65,64.1
2023,2023-12-22,2023-12-28,Gasoline (RON91),52.1,73.65,61.1
2023,2023-12-22,2023-12-28,Diesel,51.14,65.15,57.85
2023,2023-12-22,2023-12-28,Diesel Plus,55.65,74.1,65.8
2023,2023-12-22,2023-12-28,Kerosene,70.3,82.1,72.11
2023,2023-12-28,2024-01-03,Gasoline (RON97/100),54.8,77.4,71.5
2023,2023-12-28,2024-01-03,Gasoline (RON95),53.8,76.25,65.7
2023,2023-12-28,2024-01-03,Gasoline (RON91),53.3,75.25,62.6
2023,2023-12-28,2024-01-03,Diesel,52.25,66.85,59.55
2023,2023-12-28,2024-01-03,Diesel Plus,57.3,75.44,67.5
2023,2023-12-28,2024-01-03,Kerosene,71.85,82.1,73.66
2023,2023-02-03,2023-02-09,Gasoline (RON97/100),64.6,78.85,78.45
2023,2023-02-03,2023-02-09,Gasoline (RON95),64.6,78.85,80.42
2023,2023-02-03,2023-02-09,Gasoline (RON91),61.0,71.7,70.14
2023,2023-02-03,2023-02-09,Diesel,60.0,70.15,68.01
2023,2023-02-03,2023-02-09,Diesel Plus,59.65,68.58,67.48
2023,2023-02-03,2023-02-09,Kerosene,65.35,74.04,70.0
2023,2023-02-10,2023-02-16,Gasoline (RON97/100),60.7,75.4,73.53
2023,2023-02-10,2023-02-16,Gasoline (RON95),60.7,75.4,75.62
2023,2023-02-10,2023-02-16,Gasoline (RON91),59.0,69.55,65.6
2023,2023-02-10,2023-02-16,Diesel,58.0,68.0,64.6
2023,2023-02-10,2023-02-16,Diesel Plus,56.9,65.54,61.99
2023,2023-02-10,2023-02-16,Kerosene,61.7,69.5,64.36
2023,2023-02-17,2023-02-23,Gasoline (RON97/100),60.4,74.0,72.6
2023,2023-02-17,2023-02-23,Gasoline (RON95),60.4,72.85,75.85
2023,2023-02-17,2023-02-23,Gasoline (RON91),57.0,67.95,65.98
2023,2023-02-17,2023-02-23,Diesel,56.0,66.95,64.8
2023,2023-02-17,2023-02-23,Diesel Plus,54.4,61.65,59.92
2023,2023-02-17,2023-02-23,Kerosene,59.5,67.05,63.27
2023,2023-02-23,2023-03-01,Gasoline (RON97/100),61.3,73.35,71.03
2023,2023-02-23,2023-03-01,Gasoline (RON95),61.3,73.35,71.43
2023,2023-02-23,2023-03-01,Gasoline (RON91),57.0,69.1,66.75
2023,2023-02-23,2023-03-01,Diesel,56.0,67.8,64.77
2023,2023-02-23,2023-03-01,Diesel Plus,55.0,62.5,60.95
2023,2023-02-23,2023-03-01,Kerosene,60.55,65.4,61.65
2023,2023-01-05,2023-01-11,Gasoline (RON97/100),63.05,74.55,71.05
2023,2023-01-05,2023-01-11,Gasoline (RON95),63.05,74.55,
2023,2023-01-05,2023-01-11,Gasoline (RON91),59.0,69.6,66.66
2023,2023-01-05,2023-01-11,Diesel,58.0,68.35,65.53
2023,2023-01-05,2023-01-11,Diesel Plus,60.0,67.9,67.5
2023,2023-01-05,2023-01-11,Kerosene,65.1,74.1,69.15
2023,2023-01-12,2023-01-18,Gasoline (RON97/100),61.25,73.8,75.38
2023,2023-01-12,2023-01-18,Gasoline (RON95),61.25,73.8,75.38
2023,2023-01-12,2023-01-18,Gasoline (RON91),57.0,68.44,65.63
2023,2023-01-12,2023-01-18,Diesel,56.0,67.44,64.52
2023,2023-01-12,2023-01-18,Diesel Plus,57.1,66.35,64.27
2023,2023-01-12,2023-01-18,Kerosene,63.15,70.8,66.35
2023,2023-01-20,2023-01-26,Gasoline (RON97/100),61.75,74.75,74.35
2023,2023-01-20,2023-01-26,Gasoline (RON95),61.75,74.75,76.32
2023,2023-01-20,2023-01-26,Gasoline (RON91),57.0,69.39,65.65
2023,2023-01-20,2023-01-26,Diesel,56.0,68.39,65.26
2023,2023-01-20,2023-01-26,Diesel Plus,57.6,65.6,65.24
2023,2023-01-20,2023-01-26,Kerosene,63.65,71.75,68.77
2023,2023-01-26,2023-02-01,Gasoline (RON97/100),64.3,77.55,77.15
2023,2023-01-26,2023-02-01,Gasoline (RON95),64.3,77.55,79.12
2023,2023-01-26,2023-02-01,Gasoline (RON91),60.0,71.3,68.68
2023,2023-01-26,2023-02-01,Diesel,59.0,69.25,68.42
2023,2023-01-26,2023-02-01,Diesel Plus,59.85,67.85,66.48
2023,2023-01-26,2023-02-01,Kerosene,64.1,73.35,73.57
2023,2023-07-07,2023-07-13,Gasoline (RON97/100),57.05,70.95,69.0
2023,2023-07-07,2023-07-13,Gasoline (RON95),57.05,70.95,71.18
2023,2023-07-07,2023-07-13,Gasoline (RON91),53.5,66.6,60.87
2023,2023-07-07,2023-07-13,Diesel,53.0,61.95,59.83
2023,2023-07-07,2023-07-13,Diesel Plus,47.5,55.13,53.35
2023,2023-07-07,2023-07-13,Kerosene,50.93,61.18,59.68
2023,2023-07-14,2023-07-20,Gasoline (RON97/100),56.3,70.75,70.72
2023,2023-07-14,2023-07-20,Gasoline (RON95),56.3,70.75,70.72
2023,2023-07-14,2023-07-20,Gasoline (RON91),53.5,66.4,65.0
2023,2023-07-14,2023-07-20,Diesel,53.0,61.94,60.83
2023,2023-07-14,2023-07-20,Diesel Plus,47.85,56.55,55.46
2023,2023-07-14,2023-07-20,Kerosene,52.85,61.93,65.17
2023,2023-07-21,2023-07-27,Gasoline (RON97/100),58.2,80.2,72.1
2023,2023-07-21,2023-07-27,Gasoline (RON95),53.99,77.72,66.0
2023,2023-07-21,2023-07-27,Gasoline (RON91),53.49,76.72,61.84
2023,2023-07-21,2023-07-27,Diesel,49.5,66.78,52.55
2023,2023-07-21,2023-07-27,Diesel Plus,54.25,72.65,56.9
2023,2023-07-21,2023-07-27,Kerosene,66.91,79.75,69.48
2023,2023-07-28,2023-08-03,Gasoline (RON97/100),59.15,81.55,73.45
2023,2023-07-28,2023-08-03,Gasoline (RON95),55.0,79.07,67.35
2023,2023-07-28,2023-08-03,Gasoline (RON91),54.0,78.07,63.19
2023,2023-07-28,2023-08-03,Diesel,49.95,67.23,53.0
2023,2023-07-28,2023-08-03,Diesel Plus,54.7,73.1,71.55
2023,2023-07-28,2023-08-03,Kerosene,67.45,80.1,69.06
2023,2023-06-01,2023-06-07,Gasoline (RON97/100),57.7,70.1,70.75
2023,2023-06-01,2023-06-07,Gasoline (RON95),57.7,70.1,70.75
2023,2023-06-01,2023-06-07,Gasoline (RON91),53.0,66.85,62.36
2023,2023-06-01,2023-06-07,Diesel,52.0,63.4,61.56
2023,2023-06-01,2023-06-07,Diesel Plus,47.55,55.7,53.37
2023,2023-06-01,2023-06-07,Kerosene,52.95,59.95,59.87
2023,2023-06-08,2023-06-14,Gasoline (RON97/100),56.0,70.6,68.94
2023,2023-06-08,2023-06-14,Gasoline (RON95),56.0,70.6,70.75
2023,2023-06-08,2023-06-14,Gasoline (RON91),53.0,66.25,61.76
2023,2023-06-08,2023-06-14,Diesel,52.0,62.78,60.48
2023,2023-06-08,2023-06-14,Diesel Plus,46.75,55.4,53.3
2023,2023-06-08,2023-06-14,Kerosene,51.75,59.55,59.42
2023,2023-06-15,2023-06-21,Gasoline (RON97/100),57.2,71.8,70.14
2023,2023-06-15,2023-06-21,Gasoline (RON95),57.2,71.8,71.95
2023,2023-06-15,2023-06-21,Gasoline (RON91),53.0,67.45,61.37
2023,2023-06-15,2023-06-21,Diesel,52.0,63.65,60.78
2023,2023-06-15,2023-06-21,Diesel Plus,48.0,55.47,53.76
2023,2023-06-15,2023-06-21,Kerosene,52.95,60.95,60.82
2023,2023-06-24,2023-06-30,Gasoline (RON97/100),56.85,71.45,71.58
2023,2023-06-24,2023-06-30,Gasoline (RON95),56.85,71.45,74.28
2023,2023-06-24,2023-06-30,Gasoline (RON91),53.0,67.1,61.34
2023,2023-06-24,2023-06-30,Diesel,52.0,62.3,60.53
2023,2023-06-24,2023-06-30,Diesel Plus,47.75,55.37,53.84
2023,2023-06-24,2023-06-30,Kerosene,52.85,60.85,56.08
2023,2023-06-29,2023-07-05,Gasoline (RON97/100),57.05,71.65,71.13
2023,2023-06-29,2023-07-05,Gasoline (RON95),57.05,71.65,72.99
2023,2023-06-29,2023-07-05,Gasoline (RON91),53.0,66.75,63.44
2023,2023-06-29,2023-07-05,Diesel,52.0,62.5,60.27
