City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,48.33,53.60,#N/A
Caloocan City,RON 95,41.90,52.71,52.45
Caloocan City,RON 91,41.50,52.10,51.95
Caloocan City,DIESEL,29.90,38.26,38.24
Caloocan City,DIESEL PLUS,36.20,40.74,#N/A
Caloocan City,KEROSENE,37.59,39.55,#N/A
Quezon City,RON 100,44.05,53.57,#N/A
Quezon City,RON 97,43.70,50.77,#N/A
Quezon City,RON 95,35.80,51.82,43.70
Quezon City,RON 91,34.30,51.07,41.85
Quezon City,DIESEL,28.75,38.15,33.40
Quezon City,DIESEL PLUS,35.40,40.15,#N/A
Quezon City,KEROSENE,37.99,45.66,#N/A
Manila,RON 100,45.25,48.55,#N/A
Manila,RON 97,46.55,52.92,52.92
Manila,RON 95,41.30,50.92,43.70
Manila,RON 91,40.80,49.80,45.80
Manila,DIESEL,30.10,37.21,36.15
Manila,DIESEL PLUS,33.70,39.21,39.21
Manila,KEROSENE,38.77,40.45,#N/A
Pasig City,RON 100,50.90,52.77,#N/A
Pasig City,RON 97,52.90,52.90,52.90
Pasig City,RON 95,40.50,51.21,50.77
Pasig City,RON 91,39.75,50.40,50.07
Pasig City,DIESEL,31.70,37.18,34.90
Pasig City,DIESEL PLUS,36.90,39.18,39.18
Pasig City,KEROSENE,40.92,40.92,#N/A
Taguig Cty,RON 100,43.70,54.67,#N/A
Taguig Cty,RON 97,52.40,55.46,52.41
Taguig Cty,RON 95,41.70,52.71,50.41
Taguig Cty,RON 91,40.70,53.46,49.03
Taguig Cty,DIESEL,31.56,40.77,36.59
Taguig Cty,DIESEL PLUS,35.80,39.86,38.59
Taguig Cty,KEROSENE,47.29,50.15,#N/A
