City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,52.00,52.00,#N/A
Caloocan City,RON 97,52.05,55.35,#N/A
Caloocan City,RON 95,45.32,54.03,53.72
Caloocan City,RON 91,44.27,53.18,52.73
Caloocan City,DIESEL,36.48,42.60,41.08
Caloocan City,DIESEL PLUS,40.83,43.58,#N/A
Caloocan City,KEROSENE,40.72,45.06,#N/A
Quezon City,RON 100,46.05,54.89,#N/A
Quezon City,RON 97,46.00,55.19,#N/A
Quezon City,RON 95,42.75,54.31,52.89
Quezon City,RON 91,42.15,52.79,50.74
Quezon City,DIESEL,35.60,42.96,40.68
Quezon City,DIESEL PLUS,38.00,45.36,#N/A
Quezon City,KEROSENE,41.12,49.62,#N/A
Manila,RON 100,50.40,54.51,#N/A
Manila,RON 97,46.45,51.90,51.90
Manila,RON 95,48.40,55.42,49.57
Manila,RON 91,44.22,54.34,48.45
Manila,DIESEL,37.30,42.71,39.47
Manila,DIESEL PLUS,41.47,43.68,42.13
Manila,KEROSENE,41.18,45.88,#N/A
Pasig City,RON 100,51.45,53.91,#N/A
Pasig City,RON 97,48.82,54.11,#N/A
Pasig City,RON 95,43.55,52.83,50.57
Pasig City,RON 91,42.80,52.18,49.08
Pasig City,DIESEL,35.70,40.87,39.23
Pasig City,DIESEL PLUS,39.55,42.69,#N/A
Pasig City,KEROSENE,42.26,44.87,#N/A
Taguig Cty,RON 100,53.84,54.09,54.09
Taguig Cty,RON 97,54.61,55.24,#N/A
Taguig Cty,RON 95,47.40,54.96,52.09
Taguig Cty,RON 91,46.40,53.03,50.09
Taguig Cty,DIESEL,36.89,43.42,40.04
Taguig Cty,DIESEL PLUS,41.08,43.56,42.04
Taguig Cty,KEROSENE,47.77,50.75,#N/A
