City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,53.13,55.40,#N/A
Caloocan City,42.30,53.86,52.03
Caloocan City,41.90,52.61,51.03
Caloocan City,32.60,39.34,37.23
Caloocan City,37.70,41.65,#N/A
Caloocan City,34.64,36.60,#N/A
Quezon City,43.35,55.35,#N/A
Quezon City,44.20,54.17,#N/A
Quezon City,41.35,53.36,#N/A
Quezon City,40.35,52.31,#N/A
Quezon City,32.30,39.69,33.75
Quezon City,35.05,41.77,#N/A
Quezon City,35.04,42.62,#N/A
Manila,46.90,55.48,#N/A
Manila,45.85,53.74,51.49
Manila,42.45,53.48,44.90
Manila,41.90,51.96,49.42
Manila,31.50,40.53,38.05
Manila,39.73,42.53,40.40
Manila,36.01,39.73,#N/A
Pasig City,52.07,55.56,#N/A
Pasig City,48.99,53.42,#N/A
Pasig City,42.57,53.06,#N/A
Pasig City,41.82,52.13,#N/A
Pasig City,31.70,39.57,#N/A
Pasig City,37.35,41.57,#N/A
Pasig City,36.80,37.87,#N/A
Taguig Cty,54.25,55.06,#N/A
Taguig Cty,53.21,54.73,54.71
Taguig Cty,51.58,53.06,52.47
Taguig Cty,48.92,51.21,50.47
Taguig Cty,37.32,39.12,38.01
Taguig Cty,39.32,41.38,40.36
Taguig Cty,43.84,43.84,#N/A
