City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,49.50,55.30,#N/A
Caloocan City,RON 95,43.85,53.76,52.75
Caloocan City,RON 91,43.40,52.51,51.75
Caloocan City,DIESEL,30.00,39.42,#N/A
Caloocan City,DIESEL PLUS,38.00,41.95,#N/A
Caloocan City,KEROSENE,34.79,36.75,#N/A
Quezon City,RON 100,43.25,55.25,#N/A
Quezon City,RON 97,44.10,55.25,#N/A
Quezon City,RON 95,41.25,54.40,41.25
Quezon City,RON 91,40.25,52.60,40.25
Quezon City,DIESEL,31.10,39.35,#N/A
Quezon City,DIESEL PLUS,35.35,42.07,40.97
Quezon City,KEROSENE,35.19,42.62,#N/A
Manila,RON 100,46.80,55.38,#N/A
Manila,RON 97,45.75,55.54,#N/A
Manila,RON 95,42.10,53.38,#N/A
Manila,RON 91,41.60,51.86,47.75
Manila,DIESEL,31.00,40.83,#N/A
Manila,DIESEL PLUS,39.15,42.83,#N/A
Manila,KEROSENE,36.16,39.88,#N/A
Pasig City,RON 100,51.97,55.46,#N/A
Pasig City,RON 97,53.37,54.13,#N/A
Pasig City,RON 95,43.02,52.96,#N/A
Pasig City,RON 91,42.27,52.03,#N/A
Pasig City,DIESEL,32.25,39.87,#N/A
Pasig City,DIESEL PLUS,37.55,41.87,#N/A
Pasig City,KEROSENE,36.33,38.27,#N/A
Taguig Cty,RON 100,54.15,54.96,#N/A
Taguig Cty,RON 97,53.11,54.63,#N/A
Taguig Cty,RON 95,45.95,52.96,52.39
Taguig Cty,RON 91,45.15,51.11,#N/A
Taguig Cty,DIESEL,33.35,39.69,#N/A
Taguig Cty,DIESEL PLUS,39.62,41.68,#N/A
Taguig Cty,KEROSENE,36.75,47.20,#N/A
