City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,51.25,51.25,#N/A
Caloocan City,RON 97,51.30,54.90,#N/A
Caloocan City,RON 95,44.87,52.90,52.90
Caloocan City,RON 91,43.52,51.90,51.90
Caloocan City,DIESEL,35.55,39.58,39.38
Caloocan City,DIESEL PLUS,39.33,42.08,#N/A
Caloocan City,KEROSENE,40.44,43.66,#N/A
Quezon City,RON 100,46.42,55.00,#N/A
Quezon City,RON 97,45.25,55.00,#N/A
Quezon City,RON 95,42.47,54.21,48.96
Quezon City,RON 91,41.97,53.16,48.07
Quezon City,DIESEL,34.10,40.62,34.50
Quezon City,DIESEL PLUS,36.50,42.42,#N/A
Quezon City,KEROSENE,40.84,48.22,#N/A
Manila,RON 100,50.77,53.76,#N/A
Manila,RON 97,48.32,51.97,#N/A
Manila,RON 95,45.80,54.00,49.97
Manila,RON 91,43.47,52.00,48.82
Manila,DIESEL,35.80,40.30,37.97
Manila,DIESEL PLUS,39.97,42.18,40.63
Manila,KEROSENE,39.78,42.45,#N/A
Pasig City,RON 100,54.28,54.96,#N/A
Pasig City,RON 97,46.95,52.24,#N/A
Pasig City,RON 95,43.92,52.46,#N/A
Pasig City,RON 91,43.17,51.53,#N/A
Pasig City,DIESEL,34.30,39.37,#N/A
Pasig City,DIESEL PLUS,38.33,41.19,#N/A
Pasig City,KEROSENE,43.47,43.47,#N/A
Taguig Cty,RON 100,54.21,54.46,54.46
Taguig Cty,RON 97,53.86,54.50,#N/A
Taguig Cty,RON 95,46.30,54.21,52.46
Taguig Cty,RON 91,45.30,52.21,50.46
Taguig Cty,DIESEL,35.10,41.92,38.54
Taguig Cty,DIESEL PLUS,39.58,42.06,40.54
Taguig Cty,KEROSENE,47.49,50.80,#N/A
