City,Min Price,Max Price,Common Price
Caloocan City,45.12,45.12,#N/A
Caloocan City,44.42,47.48,#N/A
Caloocan City,36.72,47.00,45.73
Caloocan City,36.27,46.21,44.73
Caloocan City,25.00,32.65,31.03
Caloocan City,30.38,35.84,#N/A
Caloocan City,28.74,32.01,#N/A
Quezon City,39.17,47.50,#N/A
Quezon City,35.75,47.75,#N/A
Quezon City,35.62,47.06,36.72
Quezon City,34.40,46.01,#N/A
Quezon City,23.55,32.46,27.78
Quezon City,29.78,34.46,#N/A
Quezon City,29.14,36.72,#N/A
Manila,43.52,47.63,#N/A
Manila,39.55,45.82,43.57
Manila,40.07,45.63,41.52
Manila,38.95,44.11,41.57
Manila,28.88,33.23,29.88
Manila,33.08,36.98,33.08
Manila,28.23,33.25,#N/A
Pasig City,44.57,47.71,#N/A
Pasig City,39.70,46.21,#N/A
Pasig City,36.97,45.21,42.57
Pasig City,35.95,44.28,41.87
Pasig City,26.30,32.27,#N/A
Pasig City,29.93,34.27,#N/A
Pasig City,30.28,32.37,#N/A
Taguig Cty,46.40,47.21,47.21
Taguig Cty,46.61,46.71,46.71
Taguig Cty,40.10,45.98,45.21
Taguig Cty,39.10,44.71,43.21
Taguig Cty,27.35,33.27,31.82
Taguig Cty,32.02,33.86,33.82
Taguig Cty,38.15,38.34,#N/A
