City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,46.43,51.70,#N/A
Caloocan City,RON 95,40.65,51.58,51.58
Caloocan City,RON 91,39.65,50.58,50.58
Caloocan City,DIESEL,30.50,37.35,36.39
Caloocan City,DIESEL PLUS,35.35,39.16,#N/A
Caloocan City,KEROSENE,35.04,37.00,#N/A
Quezon City,RON 100,42.15,51.67,#N/A
Quezon City,RON 97,41.80,50.05,#N/A
Quezon City,RON 95,34.40,53.30,41.80
Quezon City,RON 91,32.90,51.50,39.95
Quezon City,DIESEL,25.90,36.05,31.30
Quezon City,DIESEL PLUS,33.30,38.05,#N/A
Quezon City,KEROSENE,35.44,36.69,#N/A
Manila,RON 100,43.80,50.10,#N/A
Manila,RON 97,44.80,51.02,51.02
Manila,RON 95,40.10,50.10,49.02
Manila,RON 91,39.60,49.25,46.05
Manila,DIESEL,28.10,36.88,35.11
Manila,DIESEL PLUS,33.80,38.80,37.11
Manila,KEROSENE,36.22,39.60,#N/A
Pasig City,RON 100,49.00,50.87,#N/A
Pasig City,RON 97,51.00,51.00,51.00
Pasig City,RON 95,41.10,49.31,48.87
Pasig City,RON 91,40.40,48.50,48.17
Pasig City,DIESEL,31.05,35.78,35.08
Pasig City,DIESEL PLUS,34.80,37.08,37.08
Pasig City,KEROSENE,36.58,38.37,#N/A
Taguig Cty,RON 100,53.05,53.27,#N/A
Taguig Cty,RON 97,51.00,53.56,51.00
Taguig Cty,RON 95,42.75,51.27,49.00
Taguig Cty,RON 91,41.75,51.56,48.25
Taguig Cty,DIESEL,30.25,38.67,34.95
Taguig Cty,DIESEL PLUS,36.95,38.36,36.95
Taguig Cty,KEROSENE,47.90,47.90,#N/A
