City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,48.03,52.75,#N/A
Caloocan City,RON 95,40.10,52.33,52.33
Caloocan City,RON 91,39.10,51.33,51.33
Caloocan City,DIESEL,29.00,36.20,35.68
Caloocan City,DIESEL PLUS,32.25,38.17,#N/A
Caloocan City,KEROSENE,34.19,36.15,#N/A
Quezon City,RON 100,42.10,51.62,#N/A
Quezon City,RON 97,41.75,50.48,#N/A
Quezon City,RON 95,39.12,53.25,41.75
Quezon City,RON 91,38.13,51.45,39.90
Quezon City,DIESEL,27.78,36.25,30.15
Quezon City,DIESEL PLUS,32.15,37.55,#N/A
Quezon City,KEROSENE,34.59,42.22,#N/A
Manila,RON 100,45.65,50.30,#N/A
Manila,RON 97,44.75,48.90,#N/A
Manila,RON 95,41.70,50.15,#N/A
Manila,RON 91,40.90,49.30,42.90
Manila,DIESEL,29.00,35.73,#N/A
Manila,DIESEL PLUS,32.65,37.65,#N/A
Manila,KEROSENE,35.37,38.75,#N/A
Pasig City,RON 100,50.82,51.12,#N/A
Pasig City,RON 97,51.22,51.22,#N/A
Pasig City,RON 95,41.05,51.12,48.82
Pasig City,RON 91,40.35,48.47,48.12
Pasig City,DIESEL,29.80,34.63,34.63
Pasig City,DIESEL PLUS,35.83,36.63,36.63
Pasig City,KEROSENE,35.73,37.17,#N/A
Taguig Cty,RON 100,53.00,53.22,#N/A
Taguig Cty,RON 97,50.95,53.51,50.95
Taguig Cty,RON 95,43.60,51.22,48.95
Taguig Cty,RON 91,42.60,51.51,48.77
Taguig Cty,DIESEL,29.30,37.52,34.30
Taguig Cty,DIESEL PLUS,36.30,37.21,36.30
Taguig Cty,KEROSENE,46.75,46.75,#N/A
