City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,47.33,53.28,#N/A
Caloocan City,RON 95,40.05,51.78,51.75
Caloocan City,RON 91,39.05,50.78,50.75
Caloocan City,DIESEL,30.00,35.25,34.78
Caloocan City,DIESEL PLUS,33.25,37.73,#N/A
Caloocan City,KEROSENE,32.24,34.20,#N/A
Quezon City,RON 100,41.55,53.55,#N/A
Quezon City,RON 97,46.90,49.90,#N/A
Quezon City,RON 95,39.50,52.70,#N/A
Quezon City,RON 91,38.50,50.90,46.40
Quezon City,DIESEL,27.58,35.35,#N/A
Quezon City,DIESEL PLUS,31.30,36.53,#N/A
Quezon City,KEROSENE,32.64,40.27,#N/A
Manila,RON 100,45.10,49.75,#N/A
Manila,RON 97,45.60,51.87,48.90
Manila,RON 95,41.40,49.87,47.75
Manila,RON 91,40.90,48.86,46.40
Manila,DIESEL,29.00,35.58,34.70
Manila,DIESEL PLUS,34.75,37.68,34.75
Manila,KEROSENE,33.42,36.80,#N/A
Pasig City,RON 100,50.27,52.26,#N/A
Pasig City,RON 97,50.67,50.67,#N/A
Pasig City,RON 95,40.55,50.41,40.55
Pasig City,RON 91,39.80,49.70,47.57
Pasig City,DIESEL,28.90,34.80,#N/A
Pasig City,DIESEL PLUS,34.25,36.62,#N/A
Pasig City,KEROSENE,33.78,35.92,#N/A
Taguig Cty,RON 100,52.45,52.67,#N/A
Taguig Cty,RON 97,52.17,58.24,#N/A
Taguig Cty,RON 95,43.90,52.53,50.67
Taguig Cty,RON 91,42.85,50.96,48.67
Taguig Cty,DIESEL,29.00,37.39,34.26
Taguig Cty,DIESEL PLUS,35.53,36.59,36.26
Taguig Cty,KEROSENE,41.89,44.80,#N/A
