City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,63.10,69.14,#N/A
Caloocan City,55.15,68.39,#N/A
Caloocan City,54.64,67.69,#N/A
Caloocan City,45.00,53.25,51.65
Caloocan City,55.10,55.59,#N/A
Caloocan City,54.00,55.22,#N/A
Quezon City,63.50,67.25,#N/A
Quezon City,57.50,68.55,66.55
Quezon City,53.90,67.65,63.05
Quezon City,52.90,66.65,61.25
Quezon City,45.31,52.80,50.40
Quezon City,51.40,54.76,#N/A
Quezon City,54.84,54.84,#N/A
Manila,63.70,67.85,#N/A
Manila,62.25,71.30,#N/A
Manila,59.60,68.18,61.70
Manila,56.80,66.20,64.85
Manila,46.50,54.02,52.27
Manila,49.30,57.00,#N/A
Manila,53.73,60.35,#N/A
Pasig City,64.80,73.15,#N/A
Pasig City,60.15,74.05,#N/A
Pasig City,56.05,71.95,63.88
Pasig City,55.55,70.45,62.90
Pasig City,46.10,53.95,49.85
Pasig City,51.54,56.40,#N/A
Pasig City,54.73,54.73,#N/A
Taguig Cty,65.65,72.18,72.18
Taguig Cty,69.80,73.98,#N/A
Taguig Cty,59.30,72.04,70.18
Taguig Cty,57.90,70.98,69.18
Taguig Cty,46.95,55.17,54.14
Taguig Cty,54.35,58.33,56.14
Taguig Cty,60.85,62.94,60.85
