City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,57.60,62.33,62.33
Caloocan City,47.40,60.19,56.25
Caloocan City,46.60,59.15,51.05
Caloocan City,38.60,45.65,44.30
Caloocan City,47.29,47.89,47.29
Caloocan City,48.80,48.87,#N/A
Quezon City,55.55,59.30,55.55
Quezon City,55.10,64.10,#N/A
Quezon City,46.75,61.60,52.08
Quezon City,45.75,60.80,51.08
Quezon City,37.65,47.35,43.05
Quezon City,44.70,50.00,45.05
Quezon City,47.24,48.49,#N/A
Manila,57.22,62.70,#N/A
Manila,54.55,63.70,#N/A
Manila,50.85,61.70,60.70
Manila,48.85,60.70,57.15
Manila,39.30,48.10,45.05
Manila,41.50,50.10,#N/A
Manila,47.71,52.55,#N/A
Pasig City,56.85,65.45,#N/A
Pasig City,52.45,65.75,#N/A
Pasig City,49.50,63.75,54.85
Pasig City,49.00,62.75,54.05
Pasig City,39.00,47.15,42.50
Pasig City,44.50,49.65,#N/A
Pasig City,48.38,50.87,#N/A
Taguig Cty,57.70,64.48,64.48
Taguig Cty,63.25,66.60,#N/A
Taguig Cty,55.70,64.85,62.48
Taguig Cty,54.70,63.85,61.48
Taguig Cty,42.34,48.10,47.04
Taguig Cty,47.00,50.57,49.04
Taguig Cty,56.59,56.59,#N/A
