City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,57.60,62.33,62.33
Caloocan City,RON 95,47.40,60.74,56.25
Caloocan City,RON 91,46.60,59.76,51.05
Caloocan City,DIESEL,38.30,46.24,44.75
Caloocan City,DIESEL PLUS,46.99,49.24,#N/A
Caloocan City,KEROSENE,48.40,48.47,#N/A
Quezon City,RON 100,55.55,59.30,55.55
Quezon City,RON 97,54.95,64.10,#N/A
Quezon City,RON 95,47.35,61.60,52.05
Quezon City,RON 91,46.35,60.80,51.05
Quezon City,DIESEL,37.35,47.05,42.75
Quezon City,DIESEL PLUS,44.40,49.70,44.75
Quezon City,KEROSENE,46.84,48.09,#N/A
Manila,RON 100,57.22,62.70,#N/A
Manila,RON 97,54.55,63.70,#N/A
Manila,RON 95,50.85,61.70,60.70
Manila,RON 91,48.85,60.70,57.15
Manila,DIESEL,39.20,47.80,44.75
Manila,DIESEL PLUS,41.20,49.80,#N/A
Manila,KEROSENE,47.31,52.15,#N/A
Pasig City,RON 100,56.85,65.45,#N/A
Pasig City,RON 97,52.45,65.75,#N/A
Pasig City,RON 95,49.50,63.75,54.85
Pasig City,RON 91,49.00,62.75,54.05
Pasig City,DIESEL,38.70,46.85,42.30
Pasig City,DIESEL PLUS,44.20,49.35,#N/A
Pasig City,KEROSENE,47.98,50.47,#N/A
Taguig Cty,RON 100,57.70,64.48,64.48
Taguig Cty,RON 97,63.25,66.60,#N/A
Taguig Cty,RON 95,52.40,64.85,62.48
Taguig Cty,RON 91,51.40,63.85,61.48
Taguig Cty,DIESEL,42.04,47.80,46.74
Taguig Cty,DIESEL PLUS,46.70,50.27,48.74
Taguig Cty,KEROSENE,56.19,56.19,#N/A
