City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,55.45,60.83,60.83
Caloocan City,RON 95,44.09,58.69,58.65
Caloocan City,RON 91,43.59,57.67,57.67
Caloocan City,DIESEL,36.65,47.79,44.50
Caloocan City,DIESEL PLUS,46.79,47.39,#N/A
Caloocan City,KEROSENE,46.54,47.35,#N/A
Quezon City,RON 100,54.05,63.75,#N/A
Quezon City,RON 97,53.60,61.70,#N/A
Quezon City,RON 95,44.35,61.75,52.40
Quezon City,RON 91,43.85,60.75,49.55
Quezon City,DIESEL,36.50,46.56,42.55
Quezon City,DIESEL PLUS,44.20,50.49,#N/A
Quezon City,KEROSENE,46.94,54.62,#N/A
Manila,RON 100,55.72,61.20,#N/A
Manila,RON 97,53.05,62.20,#N/A
Manila,RON 95,46.65,62.25,59.20
Manila,RON 91,44.50,60.25,55.65
Manila,DIESEL,37.05,47.72,44.55
Manila,DIESEL PLUS,41.50,49.60,#N/A
Manila,KEROSENE,47.41,52.30,#N/A
Pasig City,RON 100,55.35,63.95,#N/A
Pasig City,RON 97,54.85,63.45,#N/A
Pasig City,RON 95,47.25,61.95,53.35
Pasig City,RON 91,46.75,60.95,52.55
Pasig City,DIESEL,37.85,46.40,42.00
Pasig City,DIESEL PLUS,44.00,48.40,#N/A
Pasig City,KEROSENE,48.06,50.52,#N/A
Taguig Cty,RON 100,56.20,62.98,62.98
Taguig Cty,RON 97,64.15,65.10,#N/A
Taguig Cty,RON 95,54.20,63.35,60.98
Taguig Cty,RON 91,53.20,63.05,59.98
Taguig Cty,DIESEL,43.45,52.44,46.54
Taguig Cty,DIESEL PLUS,46.50,50.28,48.54
Taguig Cty,KEROSENE,56.20,56.20,#N/A
