City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,53.00,58.38,58.38
Caloocan City,42.70,59.38,59.38
Caloocan City,42.20,58.50,58.50
Caloocan City,35.50,43.90,40.25
Caloocan City,44.49,45.09,#N/A
Caloocan City,45.05,46.27,#N/A
Quezon City,51.60,58.60,#N/A
Quezon City,51.15,59.25,#N/A
Quezon City,41.20,56.90,48.10
Quezon City,40.70,55.90,47.10
Quezon City,34.60,44.21,40.25
Quezon City,41.90,48.19,#N/A
Quezon City,44.39,52.32,#N/A
Manila,54.00,56.20,#N/A
Manila,50.60,62.97,#N/A
Manila,47.50,60.97,52.00
Manila,46.00,58.35,51.00
Manila,37.30,46.11,42.25
Manila,39.45,48.55,#N/A
Manila,45.42,50.45,#N/A
Pasig City,52.90,61.50,#N/A
Pasig City,52.85,61.80,#N/A
Pasig City,42.80,59.80,58.29
Pasig City,42.25,58.80,57.54
Pasig City,35.05,44.35,43.00
Pasig City,41.69,46.85,#N/A
Pasig City,45.78,48.22,#N/A
Taguig Cty,53.75,60.53,60.53
Taguig Cty,61.52,62.65,#N/A
Taguig Cty,51.75,60.90,58.53
Taguig Cty,50.75,60.60,57.53
Taguig Cty,41.25,50.14,44.24
Taguig Cty,44.00,47.98,46.24
Taguig Cty,53.99,53.99,#N/A
