City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,54.45,59.83,59.83
Caloocan City,RON 95,45.85,57.69,57.65
Caloocan City,RON 91,45.10,56.67,56.67
Caloocan City,DIESEL,36.50,44.75,41.90
Caloocan City,DIESEL PLUS,46.14,46.74,#N/A
Caloocan City,KEROSENE,45.84,46.65,#N/A
Quezon City,RON 100,53.05,62.75,#N/A
Quezon City,RON 97,52.60,60.70,#N/A
Quezon City,RON 95,44.15,60.75,51.40
Quezon City,RON 91,43.15,59.75,48.55
Quezon City,DIESEL,36.50,45.86,41.70
Quezon City,DIESEL PLUS,43.55,49.84,#N/A
Quezon City,KEROSENE,46.24,53.92,#N/A
Manila,RON 100,54.72,57.65,#N/A
Manila,RON 97,52.05,61.20,#N/A
Manila,RON 95,46.65,61.25,49.95
Manila,RON 91,44.50,59.25,54.65
Manila,DIESEL,37.05,47.02,38.80
Manila,DIESEL PLUS,40.80,48.95,#N/A
Manila,KEROSENE,47.21,51.60,#N/A
Pasig City,RON 100,54.35,62.95,#N/A
Pasig City,RON 97,53.85,63.25,#N/A
Pasig City,RON 95,44.25,61.25,52.35
Pasig City,RON 91,43.70,60.25,51.55
Pasig City,DIESEL,37.10,46.00,44.65
Pasig City,DIESEL PLUS,43.35,48.50,#N/A
Pasig City,KEROSENE,47.38,49.12,#N/A
Taguig Cty,RON 100,55.20,61.98,61.98
Taguig Cty,RON 97,63.15,64.10,#N/A
Taguig Cty,RON 95,53.20,62.35,#N/A
Taguig Cty,RON 91,52.20,62.05,58.98
Taguig Cty,DIESEL,42.75,51.74,45.89
Taguig Cty,DIESEL PLUS,45.85,49.63,47.89
Taguig Cty,KEROSENE,55.59,55.59,#N/A
