City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,56.43,56.43,56.43
Caloocan City,RON 95,41.54,58.60,55.33
Caloocan City,RON 91,41.04,56.95,54.33
Caloocan City,DIESEL,35.14,44.55,42.20
Caloocan City,DIESEL PLUS,43.90,43.90,43.70
Caloocan City,KEROSENE,45.40,45.47,#N/A
Quezon City,RON 100,49.65,53.40,49.65
Quezon City,RON 97,50.20,58.15,#N/A
Quezon City,RON 95,41.50,57.15,46.15
Quezon City,RON 91,41.00,56.15,45.15
Quezon City,DIESEL,34.80,42.31,38.90
Quezon City,DIESEL PLUS,40.55,44.30,40.90
Quezon City,KEROSENE,45.14,51.57,#N/A
Manila,RON 100,52.05,54.25,#N/A
Manila,RON 97,48.65,61.02,#N/A
Manila,RON 95,44.25,59.02,50.05
Manila,RON 91,42.80,56.35,51.25
Manila,DIESEL,35.50,44.70,40.90
Manila,DIESEL PLUS,37.60,46.70,#N/A
Manila,KEROSENE,44.67,49.10,#N/A
Pasig City,RON 100,54.90,59.55,#N/A
Pasig City,RON 97,50.65,57.85,#N/A
Pasig City,RON 95,43.35,58.00,50.60
Pasig City,RON 91,42.75,57.25,#N/A
Pasig City,DIESEL,35.30,44.15,40.80
Pasig City,DIESEL PLUS,41.79,46.15,#N/A
Pasig City,KEROSENE,41.55,47.62,#N/A
Taguig Cty,RON 100,51.80,58.58,58.58
Taguig Cty,RON 97,59.38,60.70,#N/A
Taguig Cty,RON 95,49.80,58.70,56.58
Taguig Cty,RON 91,48.80,58.65,55.58
Taguig Cty,DIESEL,38.75,45.45,42.89
Taguig Cty,DIESEL PLUS,42.85,45.92,44.89
Taguig Cty,KEROSENE,53.24,55.95,#N/A
