City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,57.63,57.63,57.63
Caloocan City,RON 95,42.75,58.63,58.63
Caloocan City,RON 91,42.25,57.80,57.75
Caloocan City,DIESEL,35.25,43.05,39.40
Caloocan City,DIESEL PLUS,43.64,44.24,#N/A
Caloocan City,KEROSENE,46.17,46.17,#N/A
Quezon City,RON 100,50.85,54.60,#N/A
Quezon City,RON 97,50.40,57.80,#N/A
Quezon City,RON 95,41.20,55.55,47.35
Quezon City,RON 91,40.70,54.55,46.35
Quezon City,DIESEL,34.05,42.36,39.40
Quezon City,DIESEL PLUS,41.05,44.29,#N/A
Quezon City,KEROSENE,44.54,52.22,#N/A
Manila,RON 100,53.25,55.45,#N/A
Manila,RON 97,49.85,62.22,#N/A
Manila,RON 95,44.30,60.22,47.75
Manila,RON 91,43.15,57.60,47.25
Manila,DIESEL,35.45,45.25,36.30
Manila,DIESEL PLUS,38.30,47.70,#N/A
Manila,KEROSENE,45.32,49.90,#N/A
Pasig City,RON 100,56.10,60.75,#N/A
Pasig City,RON 97,52.10,59.05,#N/A
Pasig City,RON 95,42.65,58.75,54.70
Pasig City,RON 91,42.10,57.75,55.65
Pasig City,DIESEL,34.35,43.20,42.15
Pasig City,DIESEL PLUS,42.39,45.20,#N/A
Pasig City,KEROSENE,45.68,47.52,#N/A
Taguig Cty,RON 100,52.25,59.78,59.78
Taguig Cty,RON 97,60.77,61.90,#N/A
Taguig Cty,RON 95,50.25,60.15,57.78
Taguig Cty,RON 91,49.25,59.85,56.78
Taguig Cty,DIESEL,40.40,49.49,43.39
Taguig Cty,DIESEL PLUS,42.65,47.13,45.39
Taguig Cty,KEROSENE,53.89,53.89,#N/A
