City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,61.35,67.39,#N/A
Caloocan City,RON 95,53.40,66.30,#N/A
Caloocan City,RON 91,52.55,64.80,58.50
Caloocan City,DIESEL,44.45,52.05,#N/A
Caloocan City,DIESEL PLUS,53.90,54.15,#N/A
Caloocan City,KEROSENE,52.60,52.60,#N/A
Quezon City,RON 100,61.75,65.50,#N/A
Quezon City,RON 97,55.75,66.80,64.80
Quezon City,RON 95,52.15,65.85,59.45
Quezon City,RON 91,51.15,64.85,59.50
Quezon City,DIESEL,44.21,51.50,48.35
Quezon City,DIESEL PLUS,49.20,53.56,#N/A
Quezon City,KEROSENE,53.44,53.44,#N/A
Manila,RON 100,61.95,66.10,#N/A
Manila,RON 97,60.50,69.55,#N/A
Manila,RON 95,57.05,67.05,59.95
Manila,RON 91,55.05,64.85,63.10
Manila,DIESEL,45.30,52.82,46.10
Manila,DIESEL PLUS,48.10,55.80,#N/A
Manila,KEROSENE,52.33,58.95,#N/A
Pasig City,RON 100,60.95,71.40,#N/A
Pasig City,RON 97,59.30,72.30,#N/A
Pasig City,RON 95,55.30,70.20,57.95
Pasig City,RON 91,54.80,68.40,57.45
Pasig City,DIESEL,44.90,52.75,48.65
Pasig City,DIESEL PLUS,50.30,56.45,#N/A
Pasig City,KEROSENE,53.33,53.33,#N/A
Taguig Cty,RON 100,63.90,65.20,65.20
Taguig Cty,RON 97,68.05,72.23,#N/A
Taguig Cty,RON 95,57.55,70.29,63.20
Taguig Cty,RON 91,56.15,69.23,62.20
Taguig Cty,DIESEL,45.75,53.97,52.94
Taguig Cty,DIESEL PLUS,53.15,57.13,54.94
Taguig Cty,KEROSENE,59.45,61.54,59.45
