City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,56.55,61.04,61.04
Caloocan City,RON 95,46.60,61.14,51.65
Caloocan City,RON 91,45.80,60.16,50.65
Caloocan City,DIESEL,37.55,46.84,43.60
Caloocan City,DIESEL PLUS,47.05,49.84,#N/A
Caloocan City,KEROSENE,47.05,48.27,#N/A
Quezon City,RON 100,55.15,59.15,#N/A
Quezon City,RON 97,54.55,62.70,#N/A
Quezon City,RON 95,47.15,60.20,#N/A
Quezon City,RON 91,46.50,59.22,53.95
Quezon City,DIESEL,37.60,46.45,42.00
Quezon City,DIESEL PLUS,44.25,49.40,#N/A
Quezon City,KEROSENE,47.89,47.89,#N/A
Manila,RON 100,56.82,59.75,#N/A
Manila,RON 97,54.15,62.60,#N/A
Manila,RON 95,51.15,63.05,51.85
Manila,RON 91,49.15,62.15,56.75
Manila,DIESEL,39.25,47.82,44.60
Manila,DIESEL PLUS,41.25,49.35,#N/A
Manila,KEROSENE,47.61,52.50,#N/A
Pasig City,RON 100,56.45,65.05,#N/A
Pasig City,RON 97,52.05,61.75,#N/A
Pasig City,RON 95,49.10,63.05,54.45
Pasig City,RON 91,48.60,62.05,53.65
Pasig City,DIESEL,38.55,46.40,42.05
Pasig City,DIESEL PLUS,44.05,48.40,#N/A
Pasig City,KEROSENE,47.78,51.17,#N/A
Taguig Cty,RON 100,57.30,64.08,64.08
Taguig Cty,RON 97,62.85,65.88,#N/A
Taguig Cty,RON 95,52.00,63.88,62.08
Taguig Cty,RON 91,51.00,62.88,61.08
Taguig Cty,DIESEL,42.35,47.62,46.59
Taguig Cty,DIESEL PLUS,46.55,50.12,48.79
Taguig Cty,KEROSENE,55.99,55.99,#N/A
