City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,57.45,61.94,#N/A
Caloocan City,47.90,62.04,56.60
Caloocan City,47.10,61.06,53.05
Caloocan City,39.35,48.14,45.40
Caloocan City,48.35,51.14,#N/A
Caloocan City,47.80,49.02,#N/A
Quezon City,56.30,60.05,#N/A
Quezon City,51.05,63.60,#N/A
Quezon City,47.85,61.10,52.80
Quezon City,46.85,60.12,51.80
Quezon City,38.45,47.75,44.15
Quezon City,45.11,50.74,46.15
Quezon City,48.64,50.02,#N/A
Manila,57.97,60.90,#N/A
Manila,55.05,63.50,#N/A
Manila,51.75,63.95,56.70
Manila,49.75,63.05,57.65
Manila,40.30,49.12,44.20
Manila,43.00,50.65,#N/A
Manila,48.36,53.80,#N/A
Pasig City,57.60,65.95,#N/A
Pasig City,52.95,62.65,#N/A
Pasig City,50.00,63.95,56.35
Pasig City,49.50,62.95,55.55
Pasig City,39.85,48.00,45.25
Pasig City,45.60,50.50,#N/A
Pasig City,48.53,51.92,#N/A
Taguig Cty,58.45,64.98,64.98
Taguig Cty,63.75,66.78,#N/A
Taguig Cty,52.15,64.78,62.98
Taguig Cty,51.90,63.78,61.98
Taguig Cty,40.85,48.92,47.89
Taguig Cty,48.10,51.42,49.89
Taguig Cty,56.74,56.74,#N/A
