City,Product,Min Price,Max Price,Common Price
Cities,NATIONAL CAPITAL REGION,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,49.53,49.53,49.53
Caloocan City,RON 95,38.89,53.38,53.38
Caloocan City,RON 91,37.89,52.88,52.88
Caloocan City,DIESEL,29.39,39.00,38.89
Caloocan City,DIESEL PLUS,35.25,40.10,#N/A
Caloocan City,KEROSENE,38.54,40.65,#N/A
Quezon City,RON 100,45.15,54.77,#N/A
Quezon City,RON 97,43.40,53.65,#N/A
Quezon City,RON 95,35.80,53.02,45.05
Quezon City,RON 91,35.25,52.27,42.15
Quezon City,DIESEL,28.75,39.95,33.00
Quezon City,DIESEL PLUS,35.00,41.95,#N/A
Quezon City,KEROSENE,38.94,46.57,#N/A
Manila,RON 100,46.45,49.75,#N/A
Manila,RON 97,47.75,54.12,54.12
Manila,RON 95,40.40,52.12,42.55
Manila,RON 91,38.20,50.25,42.05
Manila,DIESEL,29.90,38.31,37.25
Manila,DIESEL PLUS,33.50,40.31,40.31
Manila,KEROSENE,39.72,45.35,#N/A
Pasig City,RON 100,52.10,53.97,#N/A
Pasig City,RON 97,54.10,54.10,54.10
Pasig City,RON 95,41.70,52.10,51.97
Pasig City,RON 91,40.95,51.60,51.27
Pasig City,DIESEL,32.80,38.28,36.00
Pasig City,DIESEL PLUS,38.00,40.28,40.28
Pasig City,KEROSENE,40.08,42.12,#N/A
Taguig Cty,RON 100,44.90,53.23,#N/A
Taguig Cty,RON 97,53.73,56.66,53.73
Taguig Cty,RON 95,42.90,53.91,51.73
Taguig Cty,RON 91,41.90,54.66,50.23
Taguig Cty,DIESEL,32.60,41.97,37.69
Taguig Cty,DIESEL PLUS,36.90,40.83,39.69
Taguig Cty,KEROSENE,47.84,51.10,#N/A
