City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,70.40,73.49,#N/A
Caloocan City,RON 95,61.00,72.50,70.90
Caloocan City,RON 91,60.00,71.50,69.80
Caloocan City,DIESEL,70.00,83.25,83.25
Caloocan City,DIESEL PLUS,79.10,86.15,#N/A
Caloocan City,KEROSENE,80.10,81.32,#N/A
Quezon City,RON 100,70.05,74.95,#N/A
Quezon City,RON 97,63.50,73.35,73.35
Quezon City,RON 95,62.05,73.05,71.15
Quezon City,RON 91,61.05,71.70,69.95
Quezon City,DIESEL,72.24,82.80,79.15
Quezon City,DIESEL PLUS,79.10,83.20,79.10
Quezon City,KEROSENE,80.94,87.37,#N/A
Manila,RON 100,70.00,74.55,#N/A
Manila,RON 97,64.45,73.28,#N/A
Manila,RON 95,63.70,73.29,68.80
Manila,RON 91,62.45,72.29,67.80
Manila,DIESEL,74.30,81.05,80.80
Manila,DIESEL PLUS,76.80,83.95,#N/A
Manila,KEROSENE,80.15,89.40,#N/A
Pasig City,RON 100,69.40,69.90,#N/A
Pasig City,RON 97,67.65,74.60,#N/A
Pasig City,RON 95,61.90,69.65,67.05
Pasig City,RON 91,61.40,72.00,64.90
Pasig City,DIESEL,73.80,83.30,79.60
Pasig City,DIESEL PLUS,80.20,84.75,#N/A
Pasig City,KEROSENE,80.83,83.95,#N/A
Taguig Cty,RON 100,77.00,77.00,77.00
Taguig Cty,RON 97,67.20,77.00,76.20
Taguig Cty,RON 95,67.30,74.60,73.00
Taguig Cty,RON 91,66.20,74.19,72.00
Taguig Cty,DIESEL,76.90,83.31,83.30
Taguig Cty,DIESEL PLUS,85.30,86.90,85.30
Taguig Cty,KEROSENE,87.25,90.25,#N/A
