City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,70.05,72.85,#N/A
Caloocan City,RON 95,61.00,71.85,67.90
Caloocan City,RON 91,60.00,70.85,66.90
Caloocan City,DIESEL,70.00,82.15,78.65
Caloocan City,DIESEL PLUS,78.00,85.50,#N/A
Caloocan City,KEROSENE,79.65,80.87,#N/A
Quezon City,RON 100,69.70,70.55,#N/A
Quezon City,RON 97,63.15,73.00,73.00
Quezon City,RON 95,62.05,72.70,70.80
Quezon City,RON 91,61.05,71.35,69.60
Quezon City,DIESEL,71.99,81.70,76.00
Quezon City,DIESEL PLUS,78.00,82.10,78.00
Quezon City,KEROSENE,80.49,86.92,#N/A
Manila,RON 100,69.65,74.20,#N/A
Manila,RON 97,64.10,72.93,#N/A
Manila,RON 95,63.20,72.49,68.45
Manila,RON 91,62.10,71.49,67.45
Manila,DIESEL,73.20,79.95,79.70
Manila,DIESEL PLUS,75.70,82.85,#N/A
Manila,KEROSENE,79.71,88.80,#N/A
Pasig City,RON 100,69.05,69.55,#N/A
Pasig City,RON 97,67.30,74.25,#N/A
Pasig City,RON 95,61.55,69.20,65.55
Pasig City,RON 91,61.05,69.45,64.15
Pasig City,DIESEL,72.70,81.40,77.10
Pasig City,DIESEL PLUS,79.10,83.65,#N/A
Pasig City,KEROSENE,80.38,83.50,#N/A
Taguig Cty,RON 100,74.63,76.65,#N/A
Taguig Cty,RON 97,66.85,76.65,75.85
Taguig Cty,RON 95,66.65,74.25,#N/A
Taguig Cty,RON 91,65.65,73.79,71.65
Taguig Cty,DIESEL,75.80,82.21,82.20
Taguig Cty,DIESEL PLUS,83.05,85.80,84.20
Taguig Cty,KEROSENE,86.80,89.80,#N/A
