City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,66.35,71.65,#N/A
Caloocan City,55.00,66.70,64.05
Caloocan City,54.00,65.70,63.30
Caloocan City,58.00,67.05,65.49
Caloocan City,63.85,72.30,#N/A
Caloocan City,71.75,72.97,#N/A
Quezon City,66.95,69.80,66.95
Quezon City,60.15,71.80,#N/A
Quezon City,57.60,68.54,61.50
Quezon City,56.80,67.34,59.45
Quezon City,59.00,66.20,63.80
Quezon City,63.85,72.00,63.85
Quezon City,72.59,79.02,#N/A
Manila,66.20,71.27,#N/A
Manila,62.90,72.45,#N/A
Manila,59.85,67.30,64.50
Manila,56.85,67.45,63.50
Manila,61.99,69.60,68.14
Manila,62.20,72.75,#N/A
Manila,71.81,80.50,#N/A
Pasig City,66.90,68.30,#N/A
Pasig City,62.65,70.00,#N/A
Pasig City,59.35,67.85,63.55
Pasig City,59.05,66.85,62.25
Pasig City,62.60,71.30,63.60
Pasig City,65.60,72.50,#N/A
Pasig City,72.48,75.60,#N/A
Taguig Cty,69.35,69.35,69.35
Taguig Cty,65.65,75.45,74.65
Taguig Cty,62.65,71.50,66.25
Taguig Cty,61.45,70.59,64.35
Taguig Cty,63.60,70.95,68.25
Taguig Cty,70.25,75.50,70.25
Taguig Cty,80.69,81.90,#N/A
