City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,86.70,90.80,#N/A
Caloocan City,RON 95,77.45,88.75,86.80
Caloocan City,RON 91,76.45,88.05,86.05
Caloocan City,DIESEL,82.89,88.95,88.55
Caloocan City,DIESEL PLUS,87.95,94.10,90.55
Caloocan City,KEROSENE,86.80,88.02,#N/A
Quezon City,RON 100,86.35,87.30,#N/A
Quezon City,RON 97,79.90,93.21,82.70
Quezon City,RON 95,77.90,89.61,#N/A
Quezon City,RON 91,77.15,87.21,84.65
Quezon City,DIESEL,81.20,89.71,86.85
Quezon City,DIESEL PLUS,85.55,93.61,#N/A
Quezon City,KEROSENE,87.64,94.07,#N/A
Manila,RON 100,88.30,89.25,#N/A
Manila,RON 97,83.75,92.05,#N/A
Manila,RON 95,81.00,89.15,86.30
Manila,RON 91,79.35,87.25,85.55
Manila,DIESEL,83.65,88.01,87.70
Manila,DIESEL PLUS,86.50,93.80,#N/A
Manila,KEROSENE,86.34,94.70,#N/A
Pasig City,RON 100,88.15,88.30,#N/A
Pasig City,RON 97,82.70,93.20,#N/A
Pasig City,RON 95,79.20,87.95,85.30
Pasig City,RON 91,78.20,85.75,85.55
Pasig City,DIESEL,83.30,89.35,87.70
Pasig City,DIESEL PLUS,89.70,94.50,#N/A
Pasig City,KEROSENE,87.53,90.85,#N/A
Taguig Cty,RON 100,88.30,88.30,88.30
Taguig Cty,RON 97,85.20,92.95,92.95
Taguig Cty,RON 95,82.70,88.30,86.30
Taguig Cty,RON 91,81.70,86.11,85.55
Taguig Cty,DIESEL,84.40,88.36,87.90
Taguig Cty,DIESEL PLUS,89.70,93.35,89.70
Taguig Cty,KEROSENE,93.75,95.74,#N/A
