City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,78.90,86.19,#N/A
Caloocan City,69.25,83.19,74.40
Caloocan City,68.75,79.55,73.40
Caloocan City,73.00,78.44,75.45
Caloocan City,77.30,83.05,#N/A
Caloocan City,74.54,76.57,#N/A
Quezon City,77.30,77.50,77.30
Quezon City,73.45,83.94,#N/A
Quezon City,66.90,83.90,#N/A
Quezon City,66.50,78.86,72.80
Quezon City,66.50,77.76,75.05
Quezon City,77.05,81.65,77.05
Quezon City,0.00,0.00,#N/A
Manila,78.65,79.20,78.65
Manila,77.10,87.40,#N/A
Manila,74.50,83.90,76.65
Manila,74.00,81.90,75.90
Manila,71.00,79.72,75.45
Manila,77.05,83.72,77.45
Manila,73.89,76.02,#N/A
Pasig City,78.50,78.70,#N/A
Pasig City,76.29,86.55,#N/A
Pasig City,71.00,82.48,76.65
Pasig City,70.50,81.25,75.90
Pasig City,71.50,78.95,75.55
Pasig City,77.55,83.25,#N/A
Pasig City,76.08,78.25,#N/A
Taguig Cty,78.65,78.65,78.65
Taguig Cty,82.00,87.05,86.50
Taguig Cty,75.25,85.05,76.65
Taguig Cty,73.85,83.05,75.90
Taguig Cty,71.35,80.75,75.45
Taguig Cty,77.45,83.75,77.45
Taguig Cty,82.55,84.29,82.55
