City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,71.20,74.00,#N/A
Caloocan City,59.65,73.00,69.05
Caloocan City,58.95,72.00,68.05
Caloocan City,69.00,80.35,77.55
Caloocan City,75.55,83.95,#N/A
Caloocan City,79.05,80.27,#N/A
Quezon City,70.70,72.39,70.70
Quezon City,64.10,74.15,#N/A
Quezon City,60.60,71.95,65.70
Quezon City,60.20,70.95,64.70
Quezon City,70.39,79.19,75.55
Quezon City,75.55,81.00,75.55
Quezon City,79.89,86.32,#N/A
Manila,70.80,73.62,#N/A
Manila,65.50,74.08,#N/A
Manila,64.15,71.13,69.60
Manila,63.15,69.88,68.60
Manila,72.05,78.85,78.60
Manila,74.60,81.75,#N/A
Manila,79.11,88.00,#N/A
Pasig City,70.20,70.65,#N/A
Pasig City,67.15,75.40,#N/A
Pasig City,61.70,70.35,67.85
Pasig City,61.40,69.20,65.30
Pasig City,71.60,80.80,76.00
Pasig City,77.30,82.55,#N/A
Pasig City,79.78,82.90,#N/A
Taguig Cty,75.78,75.78,75.78
Taguig Cty,68.00,77.80,77.00
Taguig Cty,66.20,75.40,71.78
Taguig Cty,65.20,74.89,70.78
Taguig Cty,74.30,81.10,79.95
Taguig Cty,81.95,84.70,81.95
Taguig Cty,86.20,89.20,#N/A
