City,Product,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A,#N/A
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,69.60,72.69,#N/A
Caloocan City,RON 95,61.00,71.70,70.20
Caloocan City,RON 91,60.00,70.70,69.00
Caloocan City,DIESEL,71.15,80.55,79.95
Caloocan City,DIESEL PLUS,78.95,83.45,#N/A
Caloocan City,KEROSENE,77.20,78.42,#N/A
Quezon City,RON 100,69.25,74.15,#N/A
Quezon City,RON 97,64.90,72.70,72.55
Quezon City,RON 95,61.90,72.25,70.35
Quezon City,RON 91,60.90,70.90,69.15
Quezon City,DIESEL,69.60,80.10,76.45
Quezon City,DIESEL PLUS,76.40,83.30,80.34
Quezon City,KEROSENE,78.04,84.47,#N/A
Manila,RON 100,72.02,74.50,#N/A
Manila,RON 97,65.85,72.48,#N/A
Manila,RON 95,63.00,72.49,68.00
Manila,RON 91,62.30,71.49,67.00
Manila,DIESEL,71.99,79.00,78.10
Manila,DIESEL PLUS,77.00,81.25,81.00
Manila,KEROSENE,77.26,86.50,#N/A
Pasig City,RON 100,68.60,69.10,#N/A
Pasig City,RON 97,66.85,73.80,#N/A
Pasig City,RON 95,61.10,71.95,66.25
Pasig City,RON 91,60.60,71.20,65.95
Pasig City,DIESEL,72.30,80.60,76.90
Pasig City,DIESEL PLUS,77.50,82.05,#N/A
Pasig City,KEROSENE,77.93,81.05,#N/A
Taguig Cty,RON 100,76.20,76.20,76.20
Taguig Cty,RON 97,70.85,76.20,75.40
Taguig Cty,RON 95,66.80,73.80,72.20
Taguig Cty,RON 91,65.80,73.39,71.20
Taguig Cty,DIESEL,74.35,80.85,80.60
Taguig Cty,DIESEL PLUS,82.60,84.20,82.60
Taguig Cty,KEROSENE,84.35,87.35,#N/A
