City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,73.30,79.25,#N/A
Caloocan City,66.75,76.30,75.85
Caloocan City,65.50,75.30,72.90
Caloocan City,71.00,82.70,81.95
Caloocan City,81.15,86.55,#N/A
Caloocan City,83.65,84.87,#N/A
Quezon City,74.40,78.05,#N/A
Quezon City,69.40,79.10,#N/A
Quezon City,66.35,77.35,70.70
Quezon City,65.20,77.50,69.70
Quezon City,71.90,83.10,79.15
Quezon City,80.45,86.50,#N/A
Quezon City,84.49,90.92,#N/A
Manila,77.85,80.10,#N/A
Manila,69.75,78.65,#N/A
Manila,69.75,76.10,74.95
Manila,67.75,75.80,73.95
Manila,76.80,82.05,81.50
Manila,81.55,85.45,#N/A
Manila,83.71,84.32,#N/A
Pasig City,76.05,77.05,#N/A
Pasig City,72.25,77.70,#N/A
Pasig City,66.10,76.25,72.50
Pasig City,65.10,75.10,72.05
Pasig City,75.25,82.60,81.15
Pasig City,82.30,86.15,#N/A
Pasig City,84.38,87.50,#N/A
Taguig Cty,80.10,80.10,80.10
Taguig Cty,74.75,79.50,79.50
Taguig Cty,71.40,79.79,76.10
Taguig Cty,70.40,79.39,75.10
Taguig Cty,77.20,83.74,82.80
Taguig Cty,84.60,86.20,84.60
Taguig Cty,90.80,93.80,#N/A
