City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,62.05,72.55,#N/A
Caloocan City,RON 95,55.55,66.50,65.10
Caloocan City,RON 91,55.00,65.50,62.45
Caloocan City,DIESEL,51.00,57.50,56.65
Caloocan City,DIESEL PLUS,56.25,62.05,#N/A
Caloocan City,KEROSENE,66.20,68.12,68.12
Quezon City,RON 100,63.60,65.60,63.60
Quezon City,RON 97,58.25,72.15,#N/A
Quezon City,RON 95,57.25,67.25,60.60
Quezon City,RON 91,55.40,67.45,59.60
Quezon City,DIESEL,51.35,58.25,54.25
Quezon City,DIESEL PLUS,56.25,62.55,56.75
Quezon City,KEROSENE,67.24,73.97,#N/A
Manila,RON 100,64.45,68.00,#N/A
Manila,RON 97,61.79,75.00,#N/A
Manila,RON 95,58.95,70.20,65.00
Manila,RON 91,57.00,67.05,62.05
Manila,DIESEL,50.70,60.84,57.30
Manila,DIESEL PLUS,56.15,65.45,#N/A
Manila,KEROSENE,66.46,72.60,#N/A
Pasig City,RON 100,68.00,74.95,#N/A
Pasig City,RON 97,61.20,73.80,#N/A
Pasig City,RON 95,61.30,69.00,65.00
Pasig City,RON 91,60.15,66.55,60.80
Pasig City,DIESEL,53.75,60.05,56.50
Pasig City,DIESEL PLUS,58.50,64.13,63.55
Pasig City,KEROSENE,67.13,70.00,#N/A
Taguig Cty,RON 100,70.05,70.05,70.05
Taguig Cty,RON 97,65.05,76.80,76.80
Taguig Cty,RON 95,62.60,72.30,66.55
Taguig Cty,RON 91,61.80,70.70,65.05
Taguig Cty,DIESEL,55.25,61.80,58.20
Taguig Cty,DIESEL PLUS,60.20,69.20,60.20
Taguig Cty,KEROSENE,75.34,77.45,#N/A
