City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,62.70,75.15,#N/A
Caloocan City,57.60,69.10,67.70
Caloocan City,57.00,68.10,67.05
Caloocan City,52.69,59.20,58.35
Caloocan City,56.25,63.75,#N/A
Caloocan City,68.30,70.02,#N/A
Quezon City,67.15,68.56,68.56
Quezon City,60.85,74.25,#N/A
Quezon City,58.35,69.75,65.20
Quezon City,56.80,70.05,60.25
Quezon City,51.95,59.75,55.95
Quezon City,56.25,64.25,58.45
Quezon City,69.14,75.87,#N/A
Manila,67.05,70.60,#N/A
Manila,64.15,77.60,65.65
Manila,61.20,72.80,65.65
Manila,60.20,68.94,64.65
Manila,52.75,62.54,59.00
Manila,57.85,67.15,#N/A
Manila,68.36,72.40,68.96
Pasig City,68.55,77.55,#N/A
Pasig City,63.80,76.40,#N/A
Pasig City,61.30,71.60,67.60
Pasig City,60.80,68.80,66.60
Pasig City,54.10,61.75,56.45
Pasig City,58.45,65.83,65.25
Pasig City,69.03,70.00,#N/A
Taguig Cty,72.65,72.65,72.65
Taguig Cty,67.65,79.40,74.05
Taguig Cty,65.20,74.90,69.15
Taguig Cty,64.40,71.50,67.65
Taguig Cty,56.80,63.50,59.90
Taguig Cty,61.90,70.90,61.90
Taguig Cty,77.24,79.35,#N/A
