City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,67.65,78.85,#N/A
Caloocan City,61.00,71.70,70.80
Caloocan City,60.00,70.15,69.80
Caloocan City,61.00,68.58,68.54
Caloocan City,66.90,74.04,74.04
Caloocan City,76.30,77.52,#N/A
Quezon City,70.50,74.15,#N/A
Quezon City,64.60,79.15,79.00
Quezon City,63.30,72.05,66.65
Quezon City,61.95,70.35,65.65
Quezon City,59.65,68.85,63.45
Quezon City,66.90,74.35,66.90
Quezon City,77.14,83.87,#N/A
Manila,71.20,78.37,#N/A
Manila,65.60,79.21,#N/A
Manila,62.75,72.60,70.35
Manila,61.75,70.55,69.35
Manila,60.85,69.05,67.45
Manila,65.35,74.66,72.15
Manila,76.36,82.10,#N/A
Pasig City,74.50,76.00,74.50
Pasig City,66.60,80.25,#N/A
Pasig City,65.45,73.00,69.45
Pasig City,64.95,71.30,69.05
Pasig City,63.60,70.25,66.65
Pasig City,68.65,75.75,#N/A
Pasig City,75.15,77.03,#N/A
Taguig Cty,71.20,71.20,71.20
Taguig Cty,70.75,82.65,81.85
Taguig Cty,67.20,73.45,73.45
Taguig Cty,66.20,71.85,66.20
Taguig Cty,63.90,71.40,71.30
Taguig Cty,66.90,78.80,66.90
Taguig Cty,85.24,86.45,#N/A
