City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,62.90,73.35,#N/A
Caloocan City,RON 95,57.00,70.50,66.59
Caloocan City,RON 91,56.00,67.80,65.59
Caloocan City,DIESEL,55.00,63.35,59.65
Caloocan City,DIESEL PLUS,60.55,67.85,#N/A
Caloocan City,KEROSENE,70.89,72.47,#N/A
Quezon City,RON 100,67.25,70.25,70.25
Quezon City,RON 97,61.30,75.35,#N/A
Quezon City,RON 95,60.30,69.10,63.40
Quezon City,RON 91,58.25,67.85,62.40
Quezon City,DIESEL,55.35,62.50,58.55
Quezon City,DIESEL PLUS,60.55,65.40,60.55
Quezon City,KEROSENE,72.09,78.82,#N/A
Manila,RON 100,67.50,72.25,#N/A
Manila,RON 97,62.94,74.95,71.45
Manila,RON 95,61.45,70.45,69.25
Manila,RON 91,59.15,68.85,68.25
Manila,DIESEL,55.35,63.90,63.30
Manila,DIESEL PLUS,60.80,70.51,#N/A
Manila,KEROSENE,71.31,77.25,#N/A
Pasig City,RON 100,68.25,74.90,#N/A
Pasig City,RON 97,61.60,73.45,#N/A
Pasig City,RON 95,62.85,70.90,68.25
Pasig City,RON 91,60.60,69.90,62.60
Pasig City,DIESEL,56.75,66.10,62.50
Pasig City,DIESEL PLUS,62.95,68.10,#N/A
Pasig City,KEROSENE,71.98,74.25,#N/A
Taguig Cty,RON 100,70.00,70.00,70.00
Taguig Cty,RON 97,65.00,76.75,71.40
Taguig Cty,RON 95,65.00,72.25,66.25
Taguig Cty,RON 91,64.00,70.65,65.00
Taguig Cty,DIESEL,59.85,67.25,60.75
Taguig Cty,DIESEL PLUS,62.75,71.75,62.75
Taguig Cty,KEROSENE,80.19,81.40,#N/A
