City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,69.25,74.55,#N/A
Caloocan City,59.00,69.60,66.95
Caloocan City,58.00,68.60,66.20
Caloocan City,60.00,69.32,67.59
Caloocan City,65.95,74.50,#N/A
Caloocan City,74.80,76.02,#N/A
Quezon City,69.85,72.70,69.85
Quezon City,63.05,74.70,#N/A
Quezon City,61.45,71.24,63.35
Quezon City,60.35,68.35,62.35
Quezon City,60.10,67.90,63.95
Quezon City,65.95,74.10,65.95
Quezon City,75.64,82.07,#N/A
Manila,68.05,74.70,#N/A
Manila,64.85,74.91,#N/A
Manila,60.90,70.20,67.40
Manila,59.90,68.60,66.40
Manila,62.60,70.95,66.50
Manila,65.10,74.85,#N/A
Manila,74.86,80.50,#N/A
Pasig City,69.80,71.20,#N/A
Pasig City,65.55,74.75,#N/A
Pasig City,62.25,70.75,66.45
Pasig City,61.95,69.75,65.45
Pasig City,64.10,73.40,69.10
Pasig City,67.70,76.80,#N/A
Pasig City,75.53,78.65,#N/A
Taguig Cty,72.25,72.25,72.25
Taguig Cty,66.45,78.35,#N/A
Taguig Cty,66.85,74.06,69.15
Taguig Cty,65.05,73.49,67.25
Taguig Cty,67.70,71.20,70.35
Taguig Cty,72.35,77.60,72.35
Taguig Cty,83.74,83.74,#N/A
