City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,57.95,70.10,70.10
Caloocan City,RON 95,53.00,66.85,64.16
Caloocan City,RON 91,52.00,63.40,63.05
Caloocan City,DIESEL,47.99,55.70,54.35
Caloocan City,DIESEL PLUS,52.95,59.95,#N/A
Caloocan City,KEROSENE,64.19,66.22,#N/A
Quezon City,RON 100,64.77,66.01,#N/A
Quezon City,RON 97,57.70,71.70,#N/A
Quezon City,RON 95,53.60,67.20,60.95
Quezon City,RON 91,52.90,64.54,#N/A
Quezon City,DIESEL,47.55,56.65,50.95
Quezon City,DIESEL PLUS,52.95,65.25,#N/A
Quezon City,KEROSENE,65.84,72.55,#N/A
Manila,RON 100,65.93,66.00,65.93
Manila,RON 97,60.09,75.05,70.65
Manila,RON 95,56.40,69.71,60.90
Manila,RON 91,55.15,65.39,59.90
Manila,DIESEL,47.65,57.64,53.55
Manila,DIESEL PLUS,53.70,64.05,60.15
Manila,KEROSENE,65.06,68.90,#N/A
Pasig City,RON 100,66.00,68.61,#N/A
Pasig City,RON 97,58.75,73.85,#N/A
Pasig City,RON 95,57.30,69.05,61.70
Pasig City,RON 91,56.80,64.50,60.70
Pasig City,DIESEL,49.60,57.65,52.70
Pasig City,DIESEL PLUS,55.35,62.73,62.15
Pasig City,KEROSENE,65.73,65.90,#N/A
Taguig Cty,RON 100,67.10,67.90,67.10
Taguig Cty,RON 97,62.75,76.85,71.50
Taguig Cty,RON 95,61.30,72.35,64.10
Taguig Cty,RON 91,60.60,66.59,62.60
Taguig Cty,DIESEL,52.90,57.78,55.30
Taguig Cty,DIESEL PLUS,57.30,66.90,57.30
Taguig Cty,KEROSENE,73.94,76.80,#N/A
