City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,58.55,71.80,71.80
Caloocan City,53.00,67.45,60.65
Caloocan City,52.00,63.65,59.15
Caloocan City,48.00,55.47,51.40
Caloocan City,53.40,60.95,#N/A
Caloocan City,64.89,66.92,#N/A
Quezon City,65.36,66.61,#N/A
Quezon City,57.20,72.30,#N/A
Quezon City,54.20,67.80,57.70
Quezon City,53.50,63.98,59.75
Quezon City,48.45,57.75,51.40
Quezon City,53.40,66.35,#N/A
Quezon City,66.54,73.25,#N/A
Manila,65.36,66.53,66.53
Manila,58.94,75.65,#N/A
Manila,56.60,70.31,61.50
Manila,55.90,65.29,60.50
Manila,49.00,58.74,54.65
Manila,52.95,65.15,#N/A
Manila,65.76,69.60,#N/A
Pasig City,65.36,67.55,#N/A
Pasig City,59.00,74.45,#N/A
Pasig City,56.70,69.65,62.30
Pasig City,56.20,65.00,61.30
Pasig City,49.30,58.75,54.95
Pasig City,55.20,63.83,63.25
Pasig City,65.30,66.43,#N/A
Taguig Cty,67.70,68.20,67.70
Taguig Cty,63.35,77.45,72.10
Taguig Cty,61.50,72.95,64.70
Taguig Cty,61.10,67.19,63.20
Taguig Cty,53.35,58.88,56.40
Taguig Cty,58.40,68.00,58.40
Taguig Cty,74.64,77.50,#N/A
