City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,NONE
Caloocan City,RON 97,63.10,77.89,NONE
Caloocan City,RON 95,59.00,76.30,74.20
Caloocan City,RON 91,58.00,71.90,68.50
Caloocan City,DIESEL,53.20,62.50,61.10
Caloocan City,DIESEL PLUS,64.15,69.89,NONE
Caloocan City,KEROSENE,72.64,75.27,NONE
Quezon City,RON 100,70.18,74.55,NONE
Quezon City,RON 97,61.15,77.45,NONE
Quezon City,RON 95,57.90,77.35,68.00
Quezon City,RON 91,57.40,70.55,63.90
Quezon City,DIESEL,53.15,63.90,57.05
Quezon City,DIESEL PLUS,59.15,69.84,NONE
Quezon City,KEROSENE,73.84,80.50,NONE
Manila City,RON 100,73.45,79.94,NONE
Manila City,RON 97,68.55,75.00,74.30
Manila City,RON 95,61.50,74.00,73.80
Manila City,RON 91,60.50,69.40,65.05
Manila City,DIESEL,54.90,61.99,61.20
Manila City,DIESEL PLUS,59.15,70.29,68.60
Manila City,KEROSENE,73.41,73.66,NONE
Pasig City,RON 100,73.63,76.28,NONE
Pasig City,RON 97,64.85,76.28,NONE
Pasig City,RON 95,61.55,79.10,65.75
Pasig City,RON 91,61.05,72.20,63.25
Pasig City,DIESEL,54.15,63.65,56.55
Pasig City,DIESEL PLUS,59.55,70.30,NONE
Pasig City,KEROSENE,73.73,83.79,NONE
Taguig Cty,RON 100,74.36,75.85,NONE
Taguig Cty,RON 97,68.30,77.20,NONE
Taguig Cty,RON 95,63.65,78.70,63.95
Taguig Cty,RON 91,63.45,70.39,66.49
Taguig Cty,DIESEL,55.30,62.14,55.90
Taguig Cty,DIESEL PLUS,61.25,71.50,NONE
Taguig Cty,KEROSENE,81.30,81.99,NONE
Makati City,RON 100,75.35,78.50,NONE
Makati City,RON 97,71.84,77.15,NONE
Makati City,RON 95,64.85,77.75,68.30
Makati City,RON 91,63.35,69.53,65.15
Makati City,DIESEL,57.75,62.45,61.59
Makati City,DIESEL PLUS,60.75,71.40,62.55
Makati City,KEROSENE,73.66,73.66,NONE
Parañaque City,RON 100,72.58,77.90,72.58
Parañaque City,RON 97,68.00,79.60,NONE
Parañaque City,RON 95,63.30,80.60,63.90
Parañaque City,RON 91,61.80,76.00,68.80
Parañaque City,DIESEL,56.85,67.00,57.30
Parañaque City,DIESEL PLUS,60.30,72.79,60.30
Parañaque City,KEROSENE,72.04,72.04,NONE
Muntinlupa City,RON 100,73.55,80.00,NONE
Muntinlupa City,RON 97,69.10,86.67,NONE
Muntinlupa City,RON 95,64.55,77.48,64.55
Muntinlupa City,RON 91,63.05,71.10,67.50
Muntinlupa City,DIESEL,58.00,63.15,58.00
Muntinlupa City,DIESEL PLUS,61.00,72.10,63.86
Muntinlupa City,KEROSENE,73.54,73.54,NONE
Pasay City,RON 100,72.98,80.80,NONE
Pasay City,RON 97,71.50,80.55,NONE
Pasay City,RON 95,60.15,81.65,60.15
Pasay City,RON 91,57.85,74.90,65.34
Pasay City,DIESEL,56.25,64.95,61.39
Pasay City,DIESEL PLUS,61.00,73.80,NONE
Pasay City,KEROSENE,74.36,79.40,NONE
