City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,62.65,77.44,#N/A
Caloocan City,RON 95,58.50,75.85,73.75
Caloocan City,RON 91,58.00,72.05,69.85
Caloocan City,DIESEL,53.80,63.15,61.44
Caloocan City,DIESEL PLUS,64.75,70.49,#N/A
Caloocan City,KEROSENE,73.20,75.27,#N/A
Quezon City,RON 100,72.45,77.98,#N/A
Quezon City,RON 97,60.70,77.00,#N/A
Quezon City,RON 95,57.70,76.90,67.55
Quezon City,RON 91,57.55,70.10,63.15
Quezon City,DIESEL,54.05,64.50,57.65
Quezon City,DIESEL PLUS,60.65,70.44,#N/A
Quezon City,KEROSENE,74.89,81.55,#N/A
Manila City,RON 100,77.68,79.49,#N/A
Manila City,RON 97,68.10,75.45,#N/A
Manila City,RON 95,59.30,74.95,#N/A
Manila City,RON 91,58.30,68.95,64.60
Manila City,DIESEL,55.49,62.88,61.80
Manila City,DIESEL PLUS,59.75,70.89,#N/A
Manila City,KEROSENE,74.46,74.72,#N/A
Pasig City,RON 100,73.18,75.82,#N/A
Pasig City,RON 97,64.40,75.83,#N/A
Pasig City,RON 95,61.10,78.65,64.00
Pasig City,RON 91,60.60,71.75,62.80
Pasig City,DIESEL,54.75,65.15,58.70
Pasig City,DIESEL PLUS,60.50,73.90,#N/A
Pasig City,KEROSENE,74.88,84.48,#N/A
Taguig Cty,RON 100,73.91,75.40,#N/A
Taguig Cty,RON 97,67.85,77.05,#N/A
Taguig Cty,RON 95,63.50,78.25,63.50
Taguig Cty,RON 91,63.00,69.99,66.04
Taguig Cty,DIESEL,56.50,63.00,#N/A
Taguig Cty,DIESEL PLUS,61.85,71.50,#N/A
Taguig Cty,KEROSENE,82.35,83.04,#N/A
#N/A,RON 100,74.90,77.85,77.85
#N/A,RON 97,73.29,78.29,#N/A
Makati City,RON 95,64.00,77.30,67.85
Makati City,RON 91,62.90,69.33,64.70
Makati City,DIESEL,58.35,63.38,60.15
Makati City,DIESEL PLUS,61.35,72.13,63.15
Makati City,KEROSENE,74.71,74.71,#N/A
Paraæaque City,RON 100,72.13,77.85,#N/A
Paraæaque City,RON 97,67.55,79.15,#N/A
Paraæaque City,RON 95,62.85,80.15,#N/A
Paraæaque City,RON 91,61.35,75.55,68.35
Paraæaque City,DIESEL,57.45,67.60,#N/A
Paraæaque City,DIESEL PLUS,60.90,73.39,#N/A
Paraæaque City,KEROSENE,73.09,73.09,#N/A
Muntinlupa City,RON 100,73.10,79.55,#N/A
Muntinlupa City,RON 97,68.65,77.48,#N/A
Muntinlupa City,RON 95,64.10,77.03,64.10
Muntinlupa City,RON 91,62.60,70.65,62.60
Muntinlupa City,DIESEL,58.60,63.75,58.60
Muntinlupa City,DIESEL PLUS,60.20,72.70,#N/A
Muntinlupa City,KEROSENE,74.59,74.59,#N/A
Pasay City,RON 100,73.35,80.35,#N/A
Pasay City,RON 97,71.05,80.45,#N/A
Pasay City,RON 95,60.15,81.20,60.15
Pasay City,RON 91,57.85,74.45,65.40
Pasay City,DIESEL,56.25,65.55,62.53
Pasay City,DIESEL PLUS,61.60,74.40,#N/A
Pasay City,KEROSENE,75.41,80.45,#N/A
