For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Previous Years Adjustment,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Cross Subsidy Charge,CERA Refund,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.2940,0.0555,-,1.1300,0.6665,0.8547,0.5832,0.3880,0.4176,0.1310,(4.7325),,0.0103,-,(0.0105),0.0239,0.3551,,0.0479,5.2147
True,70,5.2940,0.0555,-,1.1300,0.6665,0.8547,0.5832,0.2771,0.4176,0.0936,(3.2609),,0.0103,-,(0.0105),0.0306,0.5147,,0.0479,6.7043
True,100,5.2940,0.0555,-,1.1300,0.6665,0.8547,0.5832,0.1940,0.4176,0.0655,(1.8411),,0.0103,-,(0.0105),0.0371,0.6725,,0.0479,8.1772
False,200,5.2940,0.0555,-,1.1300,0.6665,0.8547,0.5832,0.0970,0.4176,0.0328,,0.1225,0.0103,-,(0.0105),0.0463,0.8936,,0.0479,10.2414
False,300,5.2940,0.0555,-,1.1300,0.6665,1.2298,0.5832,0.0647,0.4176,0.0218,,0.1225,0.0103,-,(0.0105),0.0479,0.9337,,0.0479,10.6149
False,400,5.2940,0.0555,-,1.1300,0.6665,1.5836,0.5832,0.0485,0.4176,0.0164,,0.1225,0.0103,-,(0.0105),0.0496,0.9737,,0.0479,10.9888
False,500,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0388,0.4176,0.0131,,0.1225,0.0103,-,(0.0105),0.0526,1.0465,,0.0479,11.6678
False,600,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0323,0.4176,0.0109,,0.1225,0.0103,-,(0.0105),0.0526,1.0454,,0.0479,11.6580
False,700,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0277,0.4176,0.0094,,0.1225,0.0103,-,(0.0105),0.0525,1.0447,0.0071,0.0479,11.6582
False,800,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0243,0.4176,0.0082,,0.1225,0.0103,-,(0.0105),0.0525,1.0441,0.0188,0.0479,11.6646
False,900,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0216,0.4176,0.0073,,0.1225,0.0103,-,(0.0105),0.0525,1.0437,0.0278,0.0479,11.6696
False,1000,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0194,0.4176,0.0066,,0.1225,0.0103,-,(0.0105),0.0525,1.0433,0.0350,0.0479,11.6736
False,1500,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0129,0.4176,0.0044,,0.1225,0.0103,-,(0.0105),0.0524,1.0423,0.0900,0.0479,11.7188
False,3000,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0065,0.4176,0.0022,,0.1225,0.0103,-,(0.0105),0.0524,1.0413,0.2200,0.0479,11.8391
False,5000,5.2940,0.0555,-,1.1300,0.6665,2.1998,0.5832,0.0039,0.4176,0.0013,,0.1225,0.0103,-,(0.0105),0.0524,1.0408,0.2720,0.0479,11.8872
