For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Cross Subsidy Charge,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,4.9781,0.0555,1.2845,0.6484,0.8547,0.5832,0.3880,0.4176,0.1310,(4.6428),,0.0103,(0.0121),0.0235,0.3100,,0.0479,5.0779
True,70,4.9781,0.0555,1.2845,0.6484,0.8547,0.5832,0.2771,0.4176,0.0936,(3.1980),,0.0103,(0.0121),0.0300,0.4664,,0.0479,6.5371
True,100,4.9781,0.0555,1.2845,0.6484,0.8547,0.5832,0.1940,0.4176,0.0655,(1.8052),,0.0103,(0.0121),0.0364,0.6209,,0.0479,7.9797
False,200,4.9781,0.0555,1.2845,0.6484,0.8547,0.5832,0.0970,0.4176,0.0328,,0.1136,0.0103,(0.0121),0.0453,0.8367,,0.0479,9.9935
False,300,4.9781,0.0555,1.2845,0.6484,1.2298,0.5832,0.0647,0.4176,0.0218,,0.1136,0.0103,(0.0121),0.0470,0.8767,,0.0479,10.3670
False,400,4.9781,0.0555,1.2845,0.6484,1.5836,0.5832,0.0485,0.4176,0.0164,,0.1136,0.0103,(0.0121),0.0486,0.9168,,0.0479,10.7409
False,500,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0388,0.4176,0.0131,,0.1136,0.0103,(0.0121),0.0517,0.9895,,0.0479,11.4199
False,600,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0323,0.4176,0.0109,,0.1136,0.0103,(0.0121),0.0516,0.9885,,0.0479,11.4102
False,700,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0277,0.4176,0.0094,,0.1136,0.0103,(0.0121),0.0516,0.9877,0.0071,0.0479,11.4103
False,800,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0243,0.4176,0.0082,,0.1136,0.0103,(0.0121),0.0516,0.9872,0.0188,0.0479,11.4167
False,900,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0216,0.4176,0.0073,,0.1136,0.0103,(0.0121),0.0515,0.9868,0.0278,0.0479,11.4217
False,1000,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0194,0.4176,0.0066,,0.1136,0.0103,(0.0121),0.0515,0.9864,0.0350,0.0479,11.4257
False,1500,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0129,0.4176,0.0044,,0.1136,0.0103,(0.0121),0.0515,0.9854,0.0900,0.0479,11.4709
False,3000,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0065,0.4176,0.0022,,0.1136,0.0103,(0.0121),0.0514,0.9843,0.2200,0.0479,11.5912
False,5000,4.9781,0.0555,1.2845,0.6484,2.1998,0.5832,0.0039,0.4176,0.0013,,0.1136,0.0103,(0.0121),0.0514,0.9839,0.2720,0.0479,11.6393
