For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Cross Subsidy Charge,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Snr. Citizen Subsidy,Universal Charge,Total Bill
True,50,5.5145,0.0620,1.1569,0.6705,1.0278,0.5475,0.3600,0.3664,0.1000,(4.8718),,0.0103,(0.0133),0.0247,0.3489,,-,0.1188,5.4232
True,70,5.5145,0.0620,1.1569,0.6705,1.0278,0.5475,0.2571,0.3664,0.0714,(3.3643),,0.0103,(0.0133),0.0315,0.5149,,-,0.1188,6.9722
True,100,5.5145,0.0620,1.1569,0.6705,1.0278,0.5475,0.1800,0.3664,0.0500,(1.9027),,0.0103,(0.0133),0.0383,0.6793,,-,0.1188,8.5063
False,200,5.5145,0.0620,1.1569,0.6705,1.0278,0.5475,0.0900,0.3664,0.0250,,0.1336,0.0103,(0.0133),0.0480,0.9110,,0.0001,0.1188,10.6691
False,300,5.5145,0.0620,1.1569,0.6705,1.3851,0.5475,0.0600,0.3664,0.0167,,0.1336,0.0103,(0.0133),0.0496,0.9495,,0.0001,0.1188,11.0281
False,400,5.5145,0.0620,1.1569,0.6705,1.7223,0.5475,0.0450,0.3664,0.0125,,0.1336,0.0103,(0.0133),0.0511,0.9878,,0.0001,0.1188,11.3861
False,500,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0360,0.3664,0.0100,,0.1336,0.0103,(0.0133),0.0540,1.0573,,0.0001,0.1188,12.0342
False,600,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0300,0.3664,0.0083,,0.1336,0.0103,(0.0133),0.0540,1.0563,,0.0001,0.1188,12.0256
False,700,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0257,0.3664,0.0071,,0.1336,0.0103,(0.0133),0.0540,1.0557,0.0071,0.0001,0.1188,12.0265
False,800,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0225,0.3664,0.0063,,0.1336,0.0103,(0.0133),0.0539,1.0552,0.0188,0.0001,0.1188,12.0335
False,900,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0200,0.3664,0.0056,,0.1336,0.0103,(0.0133),0.0539,1.0548,0.0278,0.0001,0.1188,12.0390
False,1000,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0180,0.3664,0.0050,,0.1336,0.0103,(0.0133),0.0539,1.0545,0.0350,0.0001,0.1188,12.0433
False,1500,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0120,0.3664,0.0033,,0.1336,0.0103,(0.0133),0.0539,1.0536,0.0900,0.0001,0.1188,12.0897
False,3000,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0060,0.3664,0.0017,,0.1336,0.0103,(0.0133),0.0538,1.0526,0.2200,0.0001,0.1188,12.2110
False,5000,5.5145,0.0620,1.1569,0.6705,2.3096,0.5475,0.0036,0.3664,0.0010,,0.1336,0.0103,(0.0133),0.0538,1.0523,0.2720,0.0001,0.1188,12.2596
