For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Previous Years Adjustment,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Cross Subsidy Charge,CERA Refund,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Snr. Citizen Subsidy,Universal Charge,Total Bill
True,50,4.8461,0.0555,-,1.0409,0.6415,0.9300,0.6349,0.4224,0.4658,0.1000,(4.5408),,0.0103,-,(0.0182),0.0229,0.3318,,-,0.0479,4.9911
True,70,4.8461,0.0555,-,1.0409,0.6415,0.9300,0.6349,0.3017,0.4658,0.0714,(3.1263),,0.0103,-,(0.0182),0.0293,0.4844,,-,0.0479,6.4152
True,100,4.8461,0.0555,-,1.0409,0.6415,0.9300,0.6349,0.2112,0.4658,0.0500,(1.7641),,0.0103,-,(0.0182),0.0355,0.6352,,-,0.0479,7.8226
False,200,4.8461,0.0555,-,1.0409,0.6415,0.9300,0.6349,0.1056,0.4658,0.0250,,0.1463,0.0103,-,(0.0182),0.0444,0.8499,,-,0.0479,9.8259
False,300,4.8461,0.0555,-,1.0409,0.6415,1.3383,0.6349,0.0704,0.4658,0.0167,,0.1463,0.0103,-,(0.0182),0.0462,0.8938,,-,0.0479,10.2365
False,400,4.8461,0.0555,-,1.0409,0.6415,1.7235,0.6349,0.0528,0.4658,0.0125,,0.1463,0.0103,-,(0.0182),0.0481,0.9377,,-,0.0479,10.6455
False,500,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0422,0.4658,0.0100,,0.1463,0.0103,-,(0.0182),0.0513,1.0170,,-,0.0479,11.3859
False,600,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0352,0.4658,0.0083,,0.1463,0.0103,-,(0.0182),0.0513,1.0160,,-,0.0479,11.3761
False,700,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0302,0.4658,0.0071,,0.1463,0.0103,-,(0.0182),0.0513,1.0152,0.0071,-,0.0479,11.3762
False,800,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0264,0.4658,0.0063,,0.1463,0.0103,-,(0.0182),0.0513,1.0146,0.0188,-,0.0479,11.3826
False,900,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0235,0.4658,0.0056,,0.1463,0.0103,-,(0.0182),0.0512,1.0142,0.0278,-,0.0479,11.3875
False,1000,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0211,0.4658,0.0050,,0.1463,0.0103,-,(0.0182),0.0512,1.0139,0.0350,-,0.0479,11.3915
False,1500,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0141,0.4658,0.0033,,0.1463,0.0103,-,(0.0182),0.0512,1.0128,0.0900,-,0.0479,11.4367
False,3000,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0070,0.4658,0.0017,,0.1463,0.0103,-,(0.0182),0.0511,1.0118,0.2200,-,0.0479,11.5569
False,5000,4.8461,0.0555,-,1.0409,0.6415,2.3943,0.6349,0.0042,0.4658,0.0010,,0.1463,0.0103,-,(0.0182),0.0511,1.0113,0.2720,-,0.0479,11.6050
