For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Cross Subsidy Charge,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.1865,0.0314,0.8905,0.5803,1.1945,0.5950,0.3914,0.4003,0.1000,(4.6693),,,0.0103,(0.0013),0.0235,0.4204,,0.3126,5.4662
True,70,5.1865,0.0314,0.8905,0.5803,1.1945,0.5950,0.2796,0.4003,0.0714,(3.2193),,,0.0103,(0.0013),0.0301,0.5783,,0.3126,6.9402
True,100,5.1865,0.0314,0.8905,0.5803,1.1945,0.5950,0.1957,0.4003,0.0500,(1.8186),,,0.0103,(0.0013),0.0366,0.7345,,0.3126,8.3984
False,200,5.1865,0.0314,0.8905,0.5803,1.1945,0.5950,0.0979,0.4003,0.0250,,0.1441,0.0001,0.0103,(0.0013),0.0458,0.9564,,0.3126,10.4694
False,300,5.1865,0.0314,0.8905,0.5803,1.5518,0.5950,0.0652,0.4003,0.0167,,0.1441,0.0001,0.0103,(0.0013),0.0474,0.9946,,0.3126,10.8254
False,400,5.1865,0.0314,0.8905,0.5803,1.8890,0.5950,0.0489,0.4003,0.0125,,0.1441,0.0001,0.0103,(0.0013),0.0489,1.0328,,0.3126,11.1819
False,500,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0391,0.4003,0.0100,,0.1441,0.0001,0.0103,(0.0013),0.0518,1.1021,,0.3126,11.8292
False,600,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0326,0.4003,0.0083,,0.1441,0.0001,0.0103,(0.0013),0.0518,1.1011,,0.3126,11.8200
False,700,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0280,0.4003,0.0071,,0.1441,0.0001,0.0103,(0.0013),0.0517,1.1004,0.0071,0.3126,11.8205
False,800,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0245,0.4003,0.0063,,0.1441,0.0001,0.0103,(0.0013),0.0517,1.0999,0.0188,0.3126,11.8272
False,900,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0217,0.4003,0.0056,,0.1441,0.0001,0.0103,(0.0013),0.0517,1.0995,0.0278,0.3126,11.8324
False,1000,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0196,0.4003,0.0050,,0.1441,0.0001,0.0103,(0.0013),0.0517,1.0992,0.0350,0.3126,11.8365
False,1500,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0130,0.4003,0.0033,,0.1441,0.0001,0.0103,(0.0013),0.0516,1.0982,0.0900,0.3126,11.8823
False,3000,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0065,0.4003,0.0017,,0.1441,0.0001,0.0103,(0.0013),0.0516,1.0972,0.2200,0.3126,12.0031
False,5000,5.1865,0.0314,0.8905,0.5803,2.4763,0.5950,0.0039,0.4003,0.0010,,0.1441,0.0001,0.0103,(0.0013),0.0516,1.0968,0.2720,0.3126,12.0514
