For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Power Act Reduction,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.3269,0.0314,0.7942,0.5760,1.2225,0.6043,0.3976,0.4066,0.1000,(4.7141),,,(0.0015),0.0237,0.4568,,0.3126,5.5371
True,70,5.3269,0.0314,0.7942,0.5760,1.2225,0.6043,0.2840,0.4066,0.0714,(3.2501),,,(0.0015),0.0303,0.6162,,0.3126,7.0249
True,100,5.3269,0.0314,0.7942,0.5760,1.2225,0.6043,0.1988,0.4066,0.0500,(1.8359),,,(0.0015),0.0369,0.7739,,0.3126,8.4967
False,200,5.3269,0.0314,0.7942,0.5760,1.2225,0.6043,0.0994,0.4066,0.0250,,0.1045,0.0001,(0.0015),0.0459,0.9930,,0.3126,10.5409
False,300,5.3269,0.0314,0.7942,0.5760,1.5798,0.6043,0.0663,0.4066,0.0167,,0.1045,0.0001,(0.0015),0.0475,1.0310,,0.3126,10.8964
False,400,5.3269,0.0314,0.7942,0.5760,1.9170,0.6043,0.0497,0.4066,0.0125,,0.1045,0.0001,(0.0015),0.0491,1.0692,,0.3126,11.2526
False,500,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0398,0.4066,0.0100,,0.1045,0.0001,(0.0015),0.0520,1.1385,,0.3126,11.8997
False,600,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0331,0.4066,0.0083,,0.1045,0.0001,(0.0015),0.0519,1.1375,,0.3126,11.8903
False,700,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0284,0.4066,0.0071,,0.1045,0.0001,(0.0015),0.0519,1.1368,0.0071,0.3126,11.8908
False,800,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0249,0.4066,0.0063,,0.1045,0.0001,(0.0015),0.0519,1.1363,0.0188,0.3126,11.8974
False,900,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0221,0.4066,0.0056,,0.1045,0.0001,(0.0015),0.0519,1.1359,0.0278,0.3126,11.9026
False,1000,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0199,0.4066,0.0050,,0.1045,0.0001,(0.0015),0.0519,1.1355,0.0350,0.3126,11.9067
False,1500,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0133,0.4066,0.0033,,0.1045,0.0001,(0.0015),0.0518,1.1345,0.0900,0.3126,11.9523
False,3000,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0066,0.4066,0.0017,,0.1045,0.0001,(0.0015),0.0518,1.1335,0.2200,0.3126,12.0730
False,5000,5.3269,0.0314,0.7942,0.5760,2.5043,0.6043,0.0040,0.4066,0.0010,,0.1045,0.0001,(0.0015),0.0518,1.1331,0.2720,0.3126,12.1213
