For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.6352,0.9664,0.5781,1.1282,0.5730,0.3770,0.3840,0.1000,(4.8710),,,0.0244,0.4788,,0.3524,5.7265
True,70,5.6352,0.9664,0.5781,1.1282,0.5730,0.2693,0.3840,0.0714,(3.3620),,,0.0312,0.6443,,0.3524,7.2716
True,100,5.6352,0.9664,0.5781,1.1282,0.5730,0.1885,0.3840,0.0500,(1.9007),,,0.0380,0.8082,,0.3524,8.8014
False,200,5.6352,0.9664,0.5781,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1177,0.0001,0.0475,1.0373,,0.3524,10.9391
False,300,5.6352,0.9664,0.5781,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1177,0.0001,0.0491,1.0756,,0.3524,11.2966
False,400,5.6352,0.9664,0.5781,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1177,0.0001,0.0507,1.1138,,0.3524,11.6537
False,500,5.6352,0.9664,0.5781,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1177,0.0001,0.0536,1.1832,,0.3524,12.3014
False,600,5.6352,0.9664,0.5781,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1177,0.0001,0.0535,1.1823,,0.3524,12.2924
False,700,5.6352,0.9664,0.5781,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1177,0.0001,0.0535,1.1816,0.0071,0.3524,12.2932
False,800,5.6352,0.9664,0.5781,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1177,0.0001,0.0535,1.1811,0.0188,0.3524,12.3000
False,900,5.6352,0.9664,0.5781,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1177,0.0001,0.0535,1.1807,0.0278,0.3524,12.3053
False,1000,5.6352,0.9664,0.5781,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1177,0.0001,0.0534,1.1804,0.0350,0.3524,12.3095
False,1500,5.6352,0.9664,0.5781,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1177,0.0001,0.0534,1.1794,0.0900,0.3524,12.3556
False,3000,5.6352,0.9664,0.5781,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1177,0.0001,0.0534,1.1784,0.2200,0.3524,12.4766
False,5000,5.6352,0.9664,0.5781,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1177,0.0001,0.0533,1.1781,0.2720,0.3524,12.5251
