For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,5.2384,0.9915,0.5519,1.1282,0.5730,0.3770,0.3840,0.1000,(4.6720),,,0.0234,0.4052,,0.3524,0.0406,5.4936
True,70,5.2384,0.9915,0.5519,1.1282,0.5730,0.2693,0.3840,0.0714,(3.2227),,,0.0299,0.5635,,0.3524,0.0406,6.9715
True,100,5.2384,0.9915,0.5519,1.1282,0.5730,0.1885,0.3840,0.0500,(1.8211),,,0.0364,0.7203,,0.3524,0.0406,8.4341
False,200,5.2384,0.9915,0.5519,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1428,0.0001,0.0456,0.9427,,0.3524,0.0406,10.5105
False,300,5.2384,0.9915,0.5519,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1428,0.0001,0.0472,0.9810,,0.3524,0.0406,10.8680
False,400,5.2384,0.9915,0.5519,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1428,0.0001,0.0488,1.0193,,0.3524,0.0406,11.2251
False,500,5.2384,0.9915,0.5519,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1428,0.0001,0.0517,1.0887,,0.3524,0.0406,11.8728
False,600,5.2384,0.9915,0.5519,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1428,0.0001,0.0517,1.0877,,0.3524,0.0406,11.8638
False,700,5.2384,0.9915,0.5519,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1428,0.0001,0.0516,1.0870,0.0071,0.3524,0.0406,11.8646
False,800,5.2384,0.9915,0.5519,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1428,0.0001,0.0516,1.0865,0.0188,0.3524,0.0406,11.8714
False,900,5.2384,0.9915,0.5519,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1428,0.0001,0.0516,1.0861,0.0278,0.3524,0.0406,11.8767
False,1000,5.2384,0.9915,0.5519,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1428,0.0001,0.0516,1.0858,0.0350,0.3524,0.0406,11.8809
False,1500,5.2384,0.9915,0.5519,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1428,0.0001,0.0515,1.0848,0.0900,0.3524,0.0406,11.9270
False,3000,5.2384,0.9915,0.5519,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1428,0.0001,0.0515,1.0839,0.2200,0.3524,0.0406,12.0480
False,5000,5.2384,0.9915,0.5519,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1428,0.0001,0.0515,1.0835,0.2720,0.3524,0.0406,12.0965
