For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,4.5406,-,0.7187,0.3908,1.0012,0.5085,0.3346,0.3377,0.1000,(3.9661),,,0.0198,0.4398,,0.2557,0.2226,4.9040
True,70,4.5406,-,0.7187,0.3908,1.0012,0.5085,0.2390,0.3377,0.0714,(2.7328),,,0.0254,0.5735,,0.2557,0.2226,6.1524
True,100,4.5406,-,0.7187,0.3908,1.0012,0.5085,0.1673,0.3377,0.0500,(1.5430),,,0.0309,0.7058,,0.2557,0.2226,7.3868
False,200,4.5406,-,0.7187,0.3908,1.0012,0.5085,0.0837,0.3377,0.0250,,0.0754,0.0001,0.0384,0.8879,,0.2557,0.2226,9.0862
False,300,4.5406,-,0.7187,0.3908,1.3183,0.5085,0.0558,0.3377,0.0167,,0.0754,0.0001,0.0398,0.9218,,0.2557,0.2226,9.4024
False,400,4.5406,-,0.7187,0.3908,1.6175,0.5085,0.0418,0.3377,0.0125,,0.0754,0.0001,0.0412,0.9557,,0.2557,0.2226,9.7188
False,500,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0335,0.3377,0.0100,,0.0754,0.0001,0.0438,1.0172,,0.2557,0.2226,10.2932
False,600,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0279,0.3377,0.0083,,0.0754,0.0001,0.0437,1.0163,,0.2557,0.2226,10.2851
False,700,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0239,0.3377,0.0071,,0.0754,0.0001,0.0437,1.0157,0.0071,0.2557,0.2226,10.2864
False,800,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0209,0.3377,0.0063,,0.0754,0.0001,0.0437,1.0152,0.0188,0.2557,0.2226,10.2936
False,900,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0186,0.3377,0.0056,,0.0754,0.0001,0.0437,1.0149,0.0278,0.2557,0.2226,10.2993
False,1000,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0167,0.3377,0.0050,,0.0754,0.0001,0.0437,1.0146,0.0350,0.2557,0.2226,10.3038
False,1500,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0112,0.3377,0.0033,,0.0754,0.0001,0.0436,1.0137,0.0900,0.2557,0.2226,10.3506
False,3000,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0056,0.3377,0.0017,,0.0754,0.0001,0.0436,1.0128,0.2200,0.2557,0.2226,10.4725
False,5000,4.5406,-,0.7187,0.3908,2.1387,0.5085,0.0033,0.3377,0.0010,,0.0754,0.0001,0.0436,1.0125,0.2720,0.2557,0.2226,10.5212
