For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Reset Cost Adj,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,5.4227,0.6548,0.4774,1.0012,0.5085,0.3346,0.3377,0.1000,(0.0731),(4.4185),,,0.0217,0.4599,,0.2557,0.2226,5.3052
True,70,5.4227,0.6548,0.4774,1.0012,0.5085,0.2390,0.3377,0.0714,(0.0731),(3.0495),,,0.0280,0.6100,,0.2557,0.2226,6.7064
True,100,5.4227,0.6548,0.4774,1.0012,0.5085,0.1673,0.3377,0.0500,(0.0731),(1.7239),,,0.0341,0.7586,,0.2557,0.2226,8.0936
False,200,5.4227,0.6548,0.4774,1.0012,0.5085,0.0837,0.3377,0.0250,(0.0731),,0.0649,0.0001,0.0425,0.9613,,0.2557,0.2226,9.9850
False,300,5.4227,0.6548,0.4774,1.3183,0.5085,0.0558,0.3377,0.0167,(0.0731),,0.0649,0.0001,0.0439,0.9951,,0.2557,0.2226,10.3011
False,400,5.4227,0.6548,0.4774,1.6175,0.5085,0.0418,0.3377,0.0125,(0.0731),,0.0649,0.0001,0.0453,1.0290,,0.2557,0.2226,10.6175
False,500,5.4227,0.6548,0.4774,2.1387,0.5085,0.0335,0.3377,0.0100,(0.0731),,0.0649,0.0001,0.0479,1.0906,,0.2557,0.2226,11.1919
False,600,5.4227,0.6548,0.4774,2.1387,0.5085,0.0279,0.3377,0.0083,(0.0731),,0.0649,0.0001,0.0478,1.0897,,0.2557,0.2226,11.1838
False,700,5.4227,0.6548,0.4774,2.1387,0.5085,0.0239,0.3377,0.0071,(0.0731),,0.0649,0.0001,0.0478,1.0891,0.0071,0.2557,0.2226,11.1851
False,800,5.4227,0.6548,0.4774,2.1387,0.5085,0.0209,0.3377,0.0063,(0.0731),,0.0649,0.0001,0.0478,1.0886,0.0188,0.2557,0.2226,11.1923
False,900,5.4227,0.6548,0.4774,2.1387,0.5085,0.0186,0.3377,0.0056,(0.0731),,0.0649,0.0001,0.0478,1.0883,0.0278,0.2557,0.2226,11.1980
False,1000,5.4227,0.6548,0.4774,2.1387,0.5085,0.0167,0.3377,0.0050,(0.0731),,0.0649,0.0001,0.0478,1.0880,0.0350,0.2557,0.2226,11.2025
False,1500,5.4227,0.6548,0.4774,2.1387,0.5085,0.0112,0.3377,0.0033,(0.0731),,0.0649,0.0001,0.0477,1.0871,0.0900,0.2557,0.2226,11.2493
False,3000,5.4227,0.6548,0.4774,2.1387,0.5085,0.0056,0.3377,0.0017,(0.0731),,0.0649,0.0001,0.0477,1.0862,0.2200,0.2557,0.2226,11.3712
False,5000,5.4227,0.6548,0.4774,2.1387,0.5085,0.0033,0.3377,0.0010,(0.0731),,0.0649,0.0001,0.0477,1.0859,0.2720,0.2557,0.2226,11.4199
