For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Distribution Rate True-UP,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
False,50,4.5370,0.6553,0.3027,1.0012,(0.2761),0.5085,0.3346,0.3377,0.1000,(3.7505),-,-,0.0188,0.3860,-,0.1989,0.0983,4.4524
False,70,4.5370,0.6553,0.3027,1.0012,(0.2761),0.5085,0.2390,0.3377,0.0714,(2.5819),-,-,0.0240,0.5120,-,0.1989,0.0983,5.6280
False,100,4.5370,0.6553,0.3027,1.0012,(0.2761),0.5085,0.1673,0.3377,0.0500,(1.4567),-,-,0.0291,0.6364,-,0.1989,0.0983,6.7897
False,200,4.5370,0.6553,0.3027,1.0012,(0.2761),0.5085,0.0837,0.3377,0.0250,-,0.0887,(0.0002),0.0363,0.8097,-,0.1989,0.0983,8.4067
False,300,4.5370,0.6553,0.3027,1.3183,(0.2761),0.5085,0.0558,0.3377,0.0167,-,0.0887,(0.0002),0.0377,0.8436,-,0.1989,0.0983,8.7228
False,400,4.5370,0.6553,0.3027,1.6175,(0.2761),0.5085,0.0418,0.3377,0.0125,-,0.0887,(0.0002),0.0391,0.8775,-,0.1989,0.0983,9.0392
False,500,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0335,0.3377,0.0100,-,0.0887,(0.0002),0.0417,0.9390,-,0.1989,0.0983,9.6137
False,600,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0279,0.3377,0.0083,-,0.0887,(0.0002),0.0416,0.9381,-,0.1989,0.0983,9.6055
False,700,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0239,0.3377,0.0071,-,0.0887,(0.0002),0.0416,0.9375,0.0071,0.1989,0.0983,9.6068
False,800,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0209,0.3377,0.0063,-,0.0887,(0.0002),0.0416,0.9370,0.0188,0.1989,0.0983,9.6141
False,900,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0186,0.3377,0.0056,-,0.0887,(0.0002),0.0416,0.9367,0.0278,0.1989,0.0983,9.6197
False,1000,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0167,0.3377,0.0050,-,0.0887,(0.0002),0.0416,0.9364,0.0350,0.1989,0.0983,9.6242
False,1500,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0112,0.3377,0.0033,-,0.0887,(0.0002),0.0415,0.9355,0.0900,0.1989,0.0983,9.6710
False,3000,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0056,0.3377,0.0017,-,0.0887,(0.0002),0.0415,0.9346,0.2200,0.1989,0.0983,9.7929
False,5000,4.5370,0.6553,0.3027,2.1387,(0.2761),0.5085,0.0033,0.3377,0.0010,-,0.0887,(0.0002),0.0415,0.9343,0.2720,0.1989,0.0983,9.8416
