For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Distribution Rate True-UP,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
False,50,4.5474,0.7486,0.4067,1.0012,(0.2761),0.5085,0.3346,0.3377,0.1000,(3.8543),-,-,-,-,0.4139,-,0.1989,0.0983,4.5654
False,70,4.5474,0.7486,0.4067,1.0012,(0.2761),0.5085,0.2390,0.3377,0.0714,(2.6546),-,-,-,-,0.5429,-,0.1989,0.0983,5.7699
False,100,4.5474,0.7486,0.4067,1.0012,(0.2761),0.5085,0.1673,0.3377,0.0500,(1.4983),-,-,-,-,0.6705,-,0.1989,0.0983,6.9607
False,200,4.5474,0.7486,0.4067,1.0012,(0.2761),0.5085,0.0837,0.3377,0.0250,-,0.0667,0.0001,-,-,0.8453,-,0.1989,0.0983,8.5920
False,300,4.5474,0.7486,0.4067,1.3183,(0.2761),0.5085,0.0558,0.3377,0.0167,-,0.0667,0.0001,-,-,0.8790,-,0.1989,0.0983,8.9066
False,400,4.5474,0.7486,0.4067,1.6175,(0.2761),0.5085,0.0418,0.3377,0.0125,-,0.0667,0.0001,-,-,0.9127,-,0.1989,0.0983,9.2213
False,500,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0335,0.3377,0.0100,-,0.0667,0.0001,-,-,0.9740,-,0.1989,0.0983,9.7930
False,600,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0279,0.3377,0.0083,-,0.0667,0.0001,-,-,0.9731,-,0.1989,0.0983,9.7848
False,700,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0239,0.3377,0.0071,-,0.0667,0.0001,-,-,0.9725,0.0071,0.1989,0.0983,9.7861
False,800,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0209,0.3377,0.0063,-,0.0667,0.0001,-,-,0.9720,0.0188,0.1989,0.0983,9.7935
False,900,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0186,0.3377,0.0056,-,0.0667,0.0001,-,-,0.9716,0.0278,0.1989,0.0983,9.7991
False,1000,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0167,0.3377,0.0050,-,0.0667,0.0001,-,-,0.9713,0.0350,0.1989,0.0983,9.8035
False,1500,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0112,0.3377,0.0033,-,0.0667,0.0001,-,-,0.9705,0.0900,0.1989,0.0983,9.8505
False,3000,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0056,0.3377,0.0017,-,0.0667,0.0001,-,-,0.9696,0.2200,0.1989,0.0983,9.9724
False,5000,4.5474,0.7486,0.4067,2.1387,(0.2761),0.5085,0.0033,0.3377,0.0010,-,0.0667,0.0001,-,-,0.9693,0.2720,0.1989,0.0983,10.0211
