For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Distribution Rate True-UP,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
False,50,4.9322,0.7323,0.3734,1.0012,0.5085,0.3346,0.3377,0.1000,(0.2761),(4.0219),-,-,0.0066,0.0201,0.4183,-,0.1989,0.0983,4.7641
False,70,4.9322,0.7323,0.3734,1.0012,0.5085,0.2390,0.3377,0.0714,(0.2761),(2.7719),-,-,0.0066,0.0258,0.5541,-,0.1989,0.0983,6.0314
False,100,4.9322,0.7323,0.3734,1.0012,0.5085,0.1673,0.3377,0.0500,(0.2761),(1.5653),-,-,0.0066,0.0313,0.6883,-,0.1989,0.0983,7.2846
False,200,4.9322,0.7323,0.3734,1.0012,0.5085,0.0837,0.3377,0.0250,(0.2761),-,0.0703,0.0001,0.0066,0.0390,0.8725,-,0.1989,0.0983,9.0036
False,300,4.9322,0.7323,0.3734,1.3183,0.5085,0.0558,0.3377,0.0167,(0.2761),-,0.0703,0.0001,0.0066,0.0404,0.9064,-,0.1989,0.0983,9.3198
False,400,4.9322,0.7323,0.3734,1.6175,0.5085,0.0418,0.3377,0.0125,(0.2761),-,0.0703,0.0001,0.0066,0.0418,0.9403,-,0.1989,0.0983,9.6361
False,500,4.9322,0.7323,0.3734,2.1387,0.5085,0.0335,0.3377,0.0100,(0.2761),-,0.0703,0.0001,0.0066,0.0443,1.0018,-,0.1989,0.0983,10.2105
False,600,4.9322,0.7323,0.3734,2.1387,0.5085,0.0279,0.3377,0.0083,(0.2761),-,0.0703,0.0001,0.0066,0.0443,1.0010,-,0.1989,0.0983,10.2024
False,700,4.9322,0.7323,0.3734,2.1387,0.5085,0.0239,0.3377,0.0071,(0.2761),-,0.0703,0.0001,0.0066,0.0443,1.0003,0.0071,0.1989,0.0983,10.2036
False,800,4.9322,0.7323,0.3734,2.1387,0.5085,0.0209,0.3377,0.0063,(0.2761),-,0.0703,0.0001,0.0066,0.0443,0.9999,0.0188,0.1989,0.0983,10.2111
False,900,4.9322,0.7323,0.3734,2.1387,0.5085,0.0186,0.3377,0.0056,(0.2761),-,0.0703,0.0001,0.0066,0.0442,0.9995,0.0278,0.1989,0.0983,10.2166
False,1000,4.9322,0.7323,0.3734,2.1387,0.5085,0.0167,0.3377,0.0050,(0.2761),-,0.0703,0.0001,0.0066,0.0442,0.9992,0.0350,0.1989,0.0983,10.2210
False,1500,4.9322,0.7323,0.3734,2.1387,0.5085,0.0112,0.3377,0.0033,(0.2761),-,0.0703,0.0001,0.0066,0.0442,0.9983,0.0900,0.1989,0.0983,10.2679
False,3000,4.9322,0.7323,0.3734,2.1387,0.5085,0.0056,0.3377,0.0017,(0.2761),-,0.0703,0.0001,0.0066,0.0442,0.9975,0.2200,0.1989,0.0983,10.3899
False,5000,4.9322,0.7323,0.3734,2.1387,0.5085,0.0033,0.3377,0.0010,(0.2761),-,0.0703,0.0001,0.0066,0.0441,0.9971,0.2720,0.1989,0.0983,10.4384
