For Lifeline Customers,kWh Consumption,Generation Charge,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Distribution Rate True-UP,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
False,50,6.7756,(0.0020),0.8552,0.5940,1.0012,0.5085,0.3346,0.3377,0.1000,(1.8009),(4.3530),-,-,0.0067,0.0218,0.4655,-,0.1989,0.0983,5.1422
False,70,6.7756,(0.0020),0.8552,0.5940,1.0012,0.5085,0.2390,0.3377,0.0714,(1.8009),(3.0036),-,-,0.0067,0.0279,0.6133,-,0.1989,0.0983,6.5213
False,100,6.7756,(0.0020),0.8552,0.5940,1.0012,0.5085,0.1673,0.3377,0.0500,(1.8009),(1.6977),-,-,0.0067,0.0340,0.7596,-,0.1989,0.0983,7.8863
False,200,6.7756,(0.0020),0.8552,0.5940,1.0012,0.5085,0.0837,0.3377,0.0250,(1.8009),-,0.0705,0.0001,0.0067,0.0423,0.9597,-,0.1989,0.0983,9.7545
False,300,6.7756,(0.0020),0.8552,0.5940,1.3183,0.5085,0.0558,0.3377,0.0167,(1.8009),-,0.0705,0.0001,0.0067,0.0437,0.9936,-,0.1989,0.0983,10.0707
False,400,6.7756,(0.0020),0.8552,0.5940,1.6175,0.5085,0.0418,0.3377,0.0125,(1.8009),-,0.0705,0.0001,0.0067,0.0451,1.0275,-,0.1989,0.0983,10.3871
False,500,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0335,0.3377,0.0100,(1.8009),-,0.0705,0.0001,0.0067,0.0476,1.0890,-,0.1989,0.0983,10.9615
False,600,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0279,0.3377,0.0083,(1.8009),-,0.0705,0.0001,0.0067,0.0476,1.0882,-,0.1989,0.0983,10.9533
False,700,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0239,0.3377,0.0071,(1.8009),-,0.0705,0.0001,0.0067,0.0476,1.0875,0.0071,0.1989,0.0983,10.9547
False,800,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0209,0.3377,0.0063,(1.8009),-,0.0705,0.0001,0.0067,0.0476,1.0871,0.0188,0.1989,0.0983,10.9619
False,900,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0186,0.3377,0.0056,(1.8009),-,0.0705,0.0001,0.0067,0.0475,1.0867,0.0278,0.1989,0.0983,10.9675
False,1000,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0167,0.3377,0.0050,(1.8009),-,0.0705,0.0001,0.0067,0.0475,1.0864,0.0350,0.1989,0.0983,10.9720
False,1500,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0112,0.3377,0.0033,(1.8009),-,0.0705,0.0001,0.0067,0.0475,1.0855,0.0900,0.1989,0.0983,11.0189
False,3000,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0056,0.3377,0.0017,(1.8009),-,0.0705,0.0001,0.0067,0.0475,1.0847,0.2200,0.1989,0.0983,11.1407
False,5000,6.7756,(0.0020),0.8552,0.5940,2.1387,0.5085,0.0033,0.3377,0.0010,(1.8009),-,0.0705,0.0001,0.0067,0.0474,1.0843,0.2720,0.1989,0.0983,11.1895
