For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,6.6066,0.5903,0.5707,0.9803,0.4979,0.3276,0.3350,0.1000,(5.0042),-,-,0.0063,0.0251,0.5434,-,0.2661,-,5.8451
True,70,6.6066,0.5903,0.5707,0.9803,0.4979,0.2340,0.3350,0.0714,(3.4602),-,-,0.0063,0.0322,0.7146,-,0.2661,-,7.4452
True,100,6.6066,0.5903,0.5707,0.9803,0.4979,0.1638,0.3350,0.0500,(1.9589),-,-,0.0063,0.0392,0.8848,-,0.2661,-,9.0321
False,50,6.6066,0.5903,0.5707,0.9803,0.4979,0.3276,0.3350,0.1000,-,0.0648,0.0001,0.0063,0.0504,1.1548,-,0.2661,-,11.5509
False,70,6.6066,0.5903,0.5707,0.9803,0.4979,0.2340,0.3350,0.0714,-,0.0648,0.0001,0.0063,0.0498,1.1397,-,0.2661,-,11.4130
False,100,6.6066,0.5903,0.5707,0.9803,0.4979,0.1638,0.3350,0.0500,-,0.0648,0.0001,0.0063,0.0493,1.1289,-,0.2661,-,11.3101
False,200,6.6066,0.5903,0.5707,0.9803,0.4979,0.0819,0.3350,0.0250,-,0.0648,0.0001,0.0063,0.0488,1.1161,-,0.2661,-,11.1899
False,300,6.6066,0.5903,0.5707,1.2908,0.4979,0.0546,0.3350,0.0167,-,0.0648,0.0001,0.0063,0.0502,1.1492,-,0.2661,-,11.4993
False,400,6.6066,0.5903,0.5707,1.5837,0.4979,0.0410,0.3350,0.0125,-,0.0648,0.0001,0.0063,0.0515,1.1824,-,0.2661,-,11.8089
False,500,6.6066,0.5903,0.5707,2.0941,0.4979,0.0328,0.3350,0.0100,-,0.0648,0.0001,0.0063,0.0540,1.2427,-,0.2661,-,12.3714
False,600,6.6066,0.5903,0.5707,2.0941,0.4979,0.0273,0.3350,0.0083,-,0.0648,0.0001,0.0063,0.0540,1.2418,-,0.2661,-,12.3633
False,700,6.6066,0.5903,0.5707,2.0941,0.4979,0.0234,0.3350,0.0071,-,0.0648,0.0001,0.0063,0.0540,1.2412,0.0071,0.2661,-,12.3647
False,800,6.6066,0.5903,0.5707,2.0941,0.4979,0.0205,0.3350,0.0063,-,0.0648,0.0001,0.0063,0.0540,1.2407,0.0188,0.2661,-,12.3722
False,900,6.6066,0.5903,0.5707,2.0941,0.4979,0.0182,0.3350,0.0056,-,0.0648,0.0001,0.0063,0.0539,1.2404,0.0278,0.2661,-,12.3778
False,1000,6.6066,0.5903,0.5707,2.0941,0.4979,0.0164,0.3350,0.0050,-,0.0648,0.0001,0.0063,0.0539,1.2401,0.0350,0.2661,-,12.3823
False,1500,6.6066,0.5903,0.5707,2.0941,0.4979,0.0109,0.3350,0.0033,-,0.0648,0.0001,0.0063,0.0539,1.2392,0.0900,0.2661,-,12.4292
False,3000,6.6066,0.5903,0.5707,2.0941,0.4979,0.0055,0.3350,0.0017,-,0.0648,0.0001,0.0063,0.0539,1.2384,0.2200,0.2661,-,12.5514
False,5000,6.6066,0.5903,0.5707,2.0941,0.4979,0.0033,0.3350,0.0010,-,0.0648,0.0001,0.0063,0.0539,1.2380,0.2720,0.2661,-,12.6001
