Year,Month,For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Previous Years Adjustment,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Distribution Rate True-UP,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Reset Cost Adj,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Cross Subsidy Charge,CERA Refund,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
2010,1,True,50,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,0.8822,,0.5830,0.3900,0.4180,0.1300,,(3.8125),,,0.0103,(0.1461),,0.0191,0.3226,,0.1003,,4.2550
2010,1,True,70,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,0.8822,,0.5830,0.2786,0.4180,0.0929,,(2.6167),,,0.0103,(0.1461),,0.0243,0.4489,,0.1003,,5.4337
2010,1,True,100,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,0.8822,,0.5830,0.1950,0.4180,0.0650,,(1.4730),,,0.0103,(0.1461),,0.0295,0.5734,,0.1003,,6.5957
2010,1,False,200,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,0.8822,,0.5830,0.0975,0.4180,0.0325,,,0.1146,,0.0103,(0.1461),,0.0368,0.7492,,0.1003,,8.2363
2010,1,False,300,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.1858,,0.5830,0.0650,0.4180,0.0217,,,0.1146,,0.0103,(0.1461),,0.0381,0.7806,,0.1003,,8.5293
2010,1,False,400,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.4721,,0.5830,0.0488,0.4180,0.0163,,,0.1146,,0.0103,(0.1461),,0.0394,0.8125,,0.1003,,8.8271
2010,1,False,500,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0390,0.4180,0.0130,,,0.1146,,0.0103,(0.1461),,0.0418,0.8710,,0.1003,,9.3739
2010,1,False,600,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0325,0.4180,0.0108,,,0.1146,,0.0103,(0.1461),,0.0418,0.8700,,0.1003,,9.3641
2010,1,False,700,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0279,0.4180,0.0093,,,0.1146,,0.0103,(0.1461),,0.0417,0.8693,0.0071,0.1003,,9.3643
2010,1,False,800,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0244,0.4180,0.0081,,,0.1146,,0.0103,(0.1461),,0.0417,0.8687,0.0188,0.1003,,9.3707
2010,1,False,900,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0217,0.4180,0.0072,,,0.1146,,0.0103,(0.1461),,0.0417,0.8683,0.0278,0.1003,,9.3756
2010,1,False,1000,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0195,0.4180,0.0065,,,0.1146,,0.0103,(0.1461),,0.0417,0.8679,0.0350,0.1003,,9.3796
2010,1,False,1500,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0130,0.4180,0.0043,,,0.1146,,0.0103,(0.1461),,0.0416,0.8669,0.0900,0.1003,,9.4248
2010,1,False,3000,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0065,0.4180,0.0022,,,0.1146,,0.0103,(0.1461),,0.0416,0.8658,0.2200,0.1003,,9.5451
2010,1,False,5000,3.9175,0.1903,(0.0169),(0.0370),0.7281,0.5761,1.9708,,0.5830,0.0039,0.4180,0.0013,,,0.1146,,0.0103,(0.1461),,0.0416,0.8654,0.2720,0.1003,,9.5932
2010,2,True,50,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,0.6917,,0.4720,0.3140,0.3380,0.1060,,(4.2178),,,0.0103,(0.1461),,0.0203,0.3325,,0.1003,,4.5095
2010,2,True,70,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,0.6917,,0.4720,0.2243,0.3380,0.0757,,(2.9104),,,0.0103,(0.1461),,0.0262,0.4757,,0.1003,,5.8459
2010,2,True,100,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,0.6917,,0.4720,0.1570,0.3380,0.0530,,(1.6451),,,0.0103,(0.1461),,0.0321,0.6175,,0.1003,,7.1689
2010,2,False,200,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,0.6917,,0.4720,0.0785,0.3380,0.0265,,,0.1161,,0.0103,(0.1461),,0.0404,0.8172,,0.1003,,9.0331
2010,2,False,300,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,0.9953,,0.4720,0.0523,0.3380,0.0177,,,0.1161,,0.0103,(0.1461),,0.0417,0.8496,,0.1003,,9.3354
2010,2,False,400,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.2816,,0.4720,0.0393,0.3380,0.0133,,,0.1161,,0.0103,(0.1461),,0.0431,0.8820,,0.1003,,9.6380
2010,2,False,500,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0314,0.3380,0.0106,,,0.1161,,0.0103,(0.1461),,0.0455,0.9409,,0.1003,,10.1875
